CODIGO_UNICO,LATITUD_NUEVA,LONGITUD_NUEVA,FUENTE_COORDENADA,TIPO_COORDENADA,ESTADO_ENRIQUECIMIENTO
2328188,-16.4689321,-71.5380727,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2109468,-16.4632386,-71.6048807,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2023334,-16.5469355,-71.4752051,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2339691,-15.7280382,-72.4325304,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2225261,-15.2644415,-72.9286939,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2314484,-15.2885041,-73.0883645,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2050040,-16.4210931,-71.474928,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2025626,-16.1602144,-71.614073,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2094329,-15.6416788,-71.5730626,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2379705,-15.6151323,-71.839074,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2030918,-16.297999,-71.573948,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2087578,-16.1602144,-71.614073,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2093806,-16.4486789,-71.3592378,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2333869,-15.2129509,-72.8890537,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2318469,-15.8644318,-73.3274948,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2380227,-16.4689321,-71.5380727,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2304792,-16.4251651,-71.6727116,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2333980,-16.0369267,-72.7997112,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2382190,-16.425605,-71.5757898,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2291257,-16.4736023,-72.6243389,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2018497,-16.4486789,-71.3592378,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2057398,-16.297999,-71.573948,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2090462,-16.2793942,-71.4603116,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2307171,-16.1602144,-71.614073,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2285487,-16.2100811,-71.0942216,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2290438,-16.4736023,-72.6243389,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2192910,-16.01508,-72.0123987,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2278364,-15.7227452,-72.5020617,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2325008,-16.3988667,-71.5369607,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2173290,-16.725199,-71.8611638,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2301830,-16.3988667,-71.5369607,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2318187,-17.0007604,-72.097831,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2088420,-16.3988667,-71.5369607,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2441091,-15.4926934,-72.4132749,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2101703,-16.297999,-71.573948,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2235227,-16.894596,-72.1025753,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2223167,-16.4632386,-71.6048807,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2105935,-16.297999,-71.573948,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2078503,-16.3988667,-71.5369607,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2327627,-15.6615552,-71.6999231,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2176609,-16.4591236,-71.5689479,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2235226,-16.894596,-72.1025753,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2227422,-15.6227345,-71.768843,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2077877,-15.4791975,-74.4434483,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2318324,-16.4235536,-71.8178329,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2327338,-15.8659492,-74.2468396,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2147424,-16.297999,-71.573948,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2305448,-16.4331715,-71.5233141,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2329457,-15.4564821,-73.6931029,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2082664,-16.297999,-71.573948,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2057455,-16.297999,-71.573948,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2186390,-15.5048145,-72.8340427,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2029644,-16.3988667,-71.5369607,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2214751,-15.5121703,-74.8392326,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2322805,-15.9691374,-72.4751512,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2319385,-15.4010097,-71.2904086,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2320029,-16.6248458,-72.7114514,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2328311,-16.3242988,-72.2878298,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
