CODIGO_UNICO,NOMBRE_INVERSION,FUNCION,PROGRAMA,SUBPROGRAMA,DES_TIPOLOGIA,PROVINCIA,DISTRITO,CLASIFICACION_PROPUESTA,MOTIVO
2037351,"MEJORAMIENTO DEL SISTEMA DE ABASTECIMIENTO DE AGUA MEDIANTE PERFORACION DE POZOS DE LA ZONA MEDIA DISTRITO DE ILAVE, PROVINCIA DE EL COLLAO - PUNO",SALUD Y SANEAMIENTO,SANEAMIENTO,SANEAMIENTO GENERAL,,EL COLLAO,ILAVE,INCLUIR_HISTORICO,Clasificación antigua de agua y saneamiento
2082657,"INSTALACION DEL SISTEMA DE AGUA POTABLE   EN LAS URBANIZACIONES ASOCIACIÓN PRO VIVIENDA SEÑOR DE HUAYNAROQUE, SAN MATEO Y AEROPUERTO II, III ETAPA Y ANEXOS SECTOR NOR OESTE, DE LA CIUDAD DE JULIACA, PROVINCIA DE SAN ROMAN - PUNO",SALUD Y SANEAMIENTO,SANEAMIENTO,SANEAMIENTO GENERAL,,SAN ROMAN,JULIACA,INCLUIR_HISTORICO,Clasificación antigua de agua y saneamiento
2634186,"REPARACION DE SISTEMA DE ABASTECIMIENTO DE AGUA POTABLE, SISTEMA DE DRENAJE Y CERCO PERIMETRICO EN EL(LA) CENTRAL HIDROELECTRICA SAN GABÁN II EN EL CENTRO POBLADO CASA HUIRI, DISTRITO DE SAN GABAN, PROVINCIA CARABAYA, DEPARTAMENTO PUNO",ENERGÍA,ENERGÍA ELÉCTRICA,GENERACIÓN DE ENERGÍA ELÉCTRICA,GENERACIÓN ELÉCTRICA,CARABAYA,SAN GABAN,EXCLUIR,Agua vinculada a hidroeléctrica/energía
2735452,"ADQUISICION DE CAMION CISTERNA EN EL(LA) ENTIDAD PRESTADORA DE SERVICIOS DE SANEAMIENTO AGUAS DEL ALTIPLANO SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA JR. CUSCO N° 324 DISTRITO DE AYAVIRI, PROVINCIA MELGAR, DEPARTAMENTO PUNO","PLANEAMIENTO, GESTIÓN Y RESERVA DE CONTINGENCIA",GESTIÓN,INFRAESTRUCTURA Y EQUIPAMIENTO,DESARROLLO INSTITUCIONAL,MELGAR,AYAVIRI,REVISAR,"Adquisición de maquinaria para EPS/Saneamiento, la finalidad es agua, pero es equipamiento"
2128422,MEJORAMIENTO Y AMPLIACION DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE HUANCANE,SALUD Y SANEAMIENTO,SANEAMIENTO,SANEAMIENTO GENERAL,,HUANCANE,HUANCANE,INCLUIR_HISTORICO,Clasificación antigua de agua y saneamiento
2727364,"ADQUISICION DE UNIDAD MOVIL EN EL(LA) EMPRESA MUNICIPAL DE SANEAMIENTO BASICO DE PUNO S.A. TIPO MINI HIDROJET EN EL  DISTRITO DE PUNO, PROVINCIA PUNO, DEPARTAMENTO PUNO","PLANEAMIENTO, GESTIÓN Y RESERVA DE CONTINGENCIA",GESTIÓN,INFRAESTRUCTURA Y EQUIPAMIENTO,DESARROLLO INSTITUCIONAL,PUNO,PUNO,REVISAR,"Adquisición de maquinaria para EPS/Saneamiento, la finalidad es agua, pero es equipamiento"
2527026,"REMODELACION DE COBERTURA Y SERVICIOS HIGIENICOS Y/O VESTIDORES REPARACION DE SISTEMA DE ABASTECIMIENTO DE AGUA POTABLE Y SISTEMA DE SUMINISTRO ELECTRICO EN EL(LA) MERCADO MUNICIPAL EN LA LOCALIDAD PILCUYO, DISTRITO DE PILCUYO, PROVINCIA EL COLLAO, DEPARTAMENTO PUNO",COMERCIO,COMERCIO,PROMOCIÓN DEL COMERCIO INTERNO,MERCADO DE ABASTOS,EL COLLAO,PILCUYO,EXCLUIR,Reparación de baños/agua en mercado
2146622,"MEJORAMIENTO DE MURO PERIMETRICO DEL LOCAL DE AGUA POTABLE DE LA PARCIALIDAD DE PATASCACHI, DISTRITO DE TILALI - MOHO - PUNO",VIVIENDA Y DESARROLLO URBANO,DESARROLLO URBANO Y RURAL,PLANEAMIENTO Y DESARROLLO URBANO Y RURAL,,MOHO,TILALI,REVISAR,"Contiene palabras clave pero función oficial es diferente, requiere validación manual"
2507420,"SANEAMIENTO TECNICO LEGAL DE RED DE TRANSPORTE EN EL(LA) GESTION ADMINISTRATIVA DEL TRASLADO DE LA EXCAVADORA ORUGA Y AMBULANCIA MERCEDEZ BENZ DEL PAIS POLONIA (VARSOVIA) HACIA LA MUNICIPALIDAD DEL  DISTRITO DE USICAYOS, PROVINCIA CARABAYA, DEPARTAMENTO PUNO","PLANEAMIENTO, GESTIÓN Y RESERVA DE CONTINGENCIA",GESTIÓN,INFRAESTRUCTURA Y EQUIPAMIENTO,DESARROLLO INSTITUCIONAL,CARABAYA,USICAYOS,REVISAR,"Adquisición de maquinaria para EPS/Saneamiento, la finalidad es agua, pero es equipamiento"
2054245,"MEJORAMIENTO Y AMPLIACION  DEL SISTEMA INTEGRAL DE AGUA POTABLE  Y ALCANTARILLADO  DE LAMPA, PROVINCIA DE LAMPA - PUNO",SALUD Y SANEAMIENTO,SANEAMIENTO,SANEAMIENTO GENERAL,,LAMPA,LAMPA,INCLUIR_HISTORICO,Clasificación antigua de agua y saneamiento
2030691,MEJORAMIENTO DE LAS CAMARAS DE BOMBEO DEL SISTEMA DE ALCANTARILLADO Y LA CAPTACION DE AGUA CRUDA EN JULIACA,SALUD Y SANEAMIENTO,SANEAMIENTO,SANEAMIENTO GENERAL,,SAN ROMAN,JULIACA,INCLUIR_HISTORICO,Clasificación antigua de agua y saneamiento
2364961,"MEJORAMIENTO DEL SERVICIO INSTITUCIONAL DE LA EMPRESA MUNICIPAL DE SANEAMIENTO BASICO DE PUNO  - EMSAPUNO S.A., DISTRITO DE PUNO, PROVINCIA Y DEPARTAMENTO DE PUNO","PLANEAMIENTO, GESTIÓN Y RESERVA DE CONTINGENCIA",GESTIÓN,INFRAESTRUCTURA Y EQUIPAMIENTO,,PUNO,PUNO,REVISAR,"Contiene palabras clave pero función oficial es diferente, requiere validación manual"
