CODIGO_UNICO,NOMBRE_INVERSION,TIPO_ANOMALIA,VALOR,COSTO_ACTUALIZADO,PRESUPUESTO_EJECUTADO,AVANCE_FINANCIERO_CALCULADO,AVANCE_FISICO,AVANCE_EJECUCION,OBSERVACION
2069742,"REHABILITACION Y MEJORAMIENTO DEL SISTEMA DE AGUA EN LOS CENTROS POBLADOS  JAPISSE  Y SUCUNI, DISTRITO DE CONIMA - MOHO - PUNO",Ejecutado mayor al costo actualizado,2466416.14,2466416.0,2466416.14,100.0,,,Diferencia: 0.14
2037351,"MEJORAMIENTO DEL SISTEMA DE ABASTECIMIENTO DE AGUA MEDIANTE PERFORACION DE POZOS DE LA ZONA MEDIA DISTRITO DE ILAVE, PROVINCIA DE EL COLLAO - PUNO",Avance financiero > 100%,102.22,1864773.0,1906149.63,102.22,,,
2037351,"MEJORAMIENTO DEL SISTEMA DE ABASTECIMIENTO DE AGUA MEDIANTE PERFORACION DE POZOS DE LA ZONA MEDIA DISTRITO DE ILAVE, PROVINCIA DE EL COLLAO - PUNO",Ejecutado mayor al costo actualizado,1906149.63,1864773.0,1906149.63,102.22,,,Diferencia: 41376.63
2265772,"CREACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO RURAL EN LA COMUNIDAD DE ISLA KAMAQUEN Y COMUNIDAD DE KAQUINGORA, DISTRITO DE CALAPUJA - LAMPA - PUNO",Avance ejecución fuera de rango,101.3,2095636.15,2077993.0,99.16,,101.3,
2577901,"CREACION DEL SISTEMA DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS EN LAS COMUNIDADES DE SAYTOCOCHA, TULANI CCAPAJON, VAREJON, CHAQUI IQUILO Y LAS PARCIALIDADES DE TULANI KETEKETE, IQUILO VAREJON Y CHICCHIPANI 7 LOCALIDADES DEL DISTRITO DE SANTIAGO DE PUPUJA - PROVINCIA DE AZANGARO - DEPARTAMENTO DE PUNO",Avance físico fuera de rango,102.0,17218599.59,139200.0,0.81,102.0,101.87,
2577901,"CREACION DEL SISTEMA DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS EN LAS COMUNIDADES DE SAYTOCOCHA, TULANI CCAPAJON, VAREJON, CHAQUI IQUILO Y LAS PARCIALIDADES DE TULANI KETEKETE, IQUILO VAREJON Y CHICCHIPANI 7 LOCALIDADES DEL DISTRITO DE SANTIAGO DE PUPUJA - PROVINCIA DE AZANGARO - DEPARTAMENTO DE PUNO",Avance ejecución fuera de rango,101.87,17218599.59,139200.0,0.81,102.0,101.87,
2422675,"ADQUISICIÓN DE KITS DE MUESTREO Y PRUEBAS DEL AGUA EN EL(LA) LABORATORIO DE CONTROL DE CALIDAD Y SALA DE CLORACIÓN DE LA PLANTA DE TRATAMIENTO DE AGUA POTABLE DE AYABACAS DE LA EPS SEDAJULIACA S.A. EN LA LOCALIDAD JULIACA, DISTRITO DE JULIACA, PROVINCIA SAN ROMAN, DEPARTAMENTO PUNO",Avance financiero > 100%,175.0,231498.2,405121.0,175.0,100.0,100.0,
2422675,"ADQUISICIÓN DE KITS DE MUESTREO Y PRUEBAS DEL AGUA EN EL(LA) LABORATORIO DE CONTROL DE CALIDAD Y SALA DE CLORACIÓN DE LA PLANTA DE TRATAMIENTO DE AGUA POTABLE DE AYABACAS DE LA EPS SEDAJULIACA S.A. EN LA LOCALIDAD JULIACA, DISTRITO DE JULIACA, PROVINCIA SAN ROMAN, DEPARTAMENTO PUNO",Ejecutado mayor al costo actualizado,405121.0,231498.2,405121.0,175.0,100.0,100.0,Diferencia: 173622.80
2140341,"INSTALACION DEL SERVICIO DE AGUA POTABLE Y LETRINAS EN LA LOCALIDAD DE SAN JUAN DE HUINIHUININI DEL DISTRITO DE ILAVE, PROVINCIA DE EL COLLAO - PUNO",Avance financiero > 100%,128.08,508466.5,651265.75,128.08,,,
2140341,"INSTALACION DEL SERVICIO DE AGUA POTABLE Y LETRINAS EN LA LOCALIDAD DE SAN JUAN DE HUINIHUININI DEL DISTRITO DE ILAVE, PROVINCIA DE EL COLLAO - PUNO",Ejecutado mayor al costo actualizado,651265.75,508466.5,651265.75,128.08,,,Diferencia: 142799.25
2150132,"CONSTRUCCION DE CANAL  DE EVACUACION DE AGUAS PLUVIALES BARRIO 20 DE FEBRERO DISTRITO DE ILAVE, PROVINCIA DE EL COLLAO - PUNO",Avance financiero > 100%,119.19,240119.09,286197.56,119.19,,,
2150132,"CONSTRUCCION DE CANAL  DE EVACUACION DE AGUAS PLUVIALES BARRIO 20 DE FEBRERO DISTRITO DE ILAVE, PROVINCIA DE EL COLLAO - PUNO",Ejecutado mayor al costo actualizado,286197.56,240119.09,286197.56,119.19,,,Diferencia: 46078.47
2138892,"CONSTRUCCION DEL SISTEMA DE AGUA POTABLE E INSTALACION DE LETRINAS EN LA PARCIALIDAD DE ALTO MILLIRAYA HUAYLLACUYO DEL DISTRITO DE HUANCANE, PROVINCIA DE HUANCANE - PUNO",Avance financiero > 100%,302.98,281972.13,854307.49,302.98,,,
2138892,"CONSTRUCCION DEL SISTEMA DE AGUA POTABLE E INSTALACION DE LETRINAS EN LA PARCIALIDAD DE ALTO MILLIRAYA HUAYLLACUYO DEL DISTRITO DE HUANCANE, PROVINCIA DE HUANCANE - PUNO",Ejecutado mayor al costo actualizado,854307.49,281972.13,854307.49,302.98,,,Diferencia: 572335.36
2150129,"INSTALACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO EN EL BARRIO  PACHACUTEC Y CALLES ALEDAÑAS DE LA CIUDAD DE ILAVE, PROVINCIA DE EL COLLAO - PUNO",Avance financiero > 100%,107.62,290066.49,312172.04,107.62,,,
2150129,"INSTALACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO EN EL BARRIO  PACHACUTEC Y CALLES ALEDAÑAS DE LA CIUDAD DE ILAVE, PROVINCIA DE EL COLLAO - PUNO",Ejecutado mayor al costo actualizado,312172.04,290066.49,312172.04,107.62,,,Diferencia: 22105.55
