CODIGO_UNICO,NOMBRE_INVERSION,PROVINCIA,DISTRITO,LATITUD,LONGITUD,TIPO_COORDENADA,EPS_PRESTACION,TIENE_EPS_PRESTACION,DENTRO_EPS,CATEGORIA_COORD
2235909,"INSTALACION DEL SISTEMA AGUA POTABLE Y SANEAMIENTO EN LAS COMUNIDADES DE SAN MIGUEL DE PIÑUTANI, LACOTUYO CHOCONAPI Y LA PARCIALIDAD DE SAN PEDRO DE MOROCOLLO DEL DISTRITO DE ILAVE, PROVINCIA DE EL COLLAO - PUNO",EL COLLAO,ILAVE,-16.2344765,-69.6749664,APROXIMADA_DISTRITO,SIN_EPS_IDENTIFICADA,NO,NO,APROXIMADA
2488413,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE EN LAS COMUNIDADES Y PARCIALIDADES DE ZONA LAGO DEL DISTRITO DE HUANCANE - PROVINCIA DE HUANCANE - DEPARTAMENTO DE PUNO,HUANCANE,HUANCANE,-15.20331632999995,-69.76082195999999,OFICIAL_ORIGINAL,EPS NOR PUNO S.A.,SI,SI,OFICIAL
2209723,"INSTALACION DEL SISTEMA FAMILIAR DE TRATAMIENTO DE AGUAS RESIDUALES EN LAS COMUNIDADES Y PARCIALIDADES DE LA ZONA JORGE BASADRE Y ZONA LAGO, DISTRITO DE HUANCANE, PROVINCIA DE HUANCANE - PUNO",HUANCANE,HUANCANE,-15.1842883,-69.8235022,APROXIMADA_DISTRITO,SIN_EPS_IDENTIFICADA,NO,NO,APROXIMADA
2311215,"AMPLIACION Y CREACIÓN DE LOS SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO SANITARIO EN LAS URBANIZACIONES AZIRUNI III ETAPA (CIUDAD JARDÍN) Y SAN SANTIAGO DEL CENTRO POBLADO DE JAYLLIHUAYA, DISTRITO DE PUNO, PROVINCIA DE PUNO - PUNO",PUNO,PUNO,-15.8787471,-69.9751057,APROXIMADA_LOCALIDAD,EMSAPUNO S.A.,SI,SI,APROXIMADA
2305251,"MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y DISPOSICION DE EXCRETAS , EN LA COMUNIDAD CAMPESINA DE CAPULLANI, PROVINCIA DE PUNO - PUNO",PUNO,PUNO,-15.8407499,-70.0284053,APROXIMADA_DISTRITO,EMSAPUNO S.A.,SI,SI,APROXIMADA
2153862,"MEJORAMIENTO Y AMPLIACIÓN DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO BÁSICO DE LA LOCALIDAD DE ISCAYAPI, DISTRITO ARAPA, PROVINCIA AZÁNGARO, DEPARTAMENTO DE PUNO",AZANGARO,ARAPA,-15.1391169,-70.1095722,APROXIMADA_DISTRITO,SIN_EPS_IDENTIFICADA,NO,NO,APROXIMADA
2613435,"REPARACION DE SISTEMA DE TRATAMIENTO DE AGUAS RESIDUALES CONSTRUCCION DE CERCO PERIMETRICO, SISTEMA DE BOMBEO Y LÍNEA DE IMPULSIÓN EN EL(LA) PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES DE ALTO PUNO  DISTRITO DE PUNO, PROVINCIA PUNO, DEPARTAMENTO PUNO",PUNO,PUNO,-15.808910631753475,-70.03697514180533,OFICIAL_ORIGINAL,SIN_EPS_IDENTIFICADA,NO,NO,OFICIAL
2627092,"CONSTRUCCION DE CERCO PERIMETRICO EN EL(LA) EPS NOR PUNO S.A. - AZANGARO  DISTRITO DE AZANGARO, PROVINCIA AZANGARO, DEPARTAMENTO PUNO",AZANGARO,AZANGARO,-14.902475407680932,-70.19035182106784,OFICIAL_ORIGINAL,EPS NOR PUNO S.A.,SI,SI,OFICIAL
2651835,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE RURAL EN LA COMUNIDAD CAMPESINA DE SIALE DEL  DISTRITO DE CAPACHICA - PROVINCIA DE PUNO - DEPARTAMENTO DE PUNO,PUNO,CAPACHICA,-15.66557784048428,-69.80879269919194,OFICIAL_ORIGINAL,SIN_EPS_IDENTIFICADA,NO,NO,OFICIAL
2695001,"CONSTRUCCION DE CAPTACION DE AGUA  EN EL(LA) SISTEMA DE AGUA POTABLE Y LA CONSTRUCCION DE ESTACION DE BOMBEO Y LINEA DE IMPULSION EN EL CENTRO POBLADO CAMATA, DISTRITO DE PLATERIA, PROVINCIA PUNO, DEPARTAMENTO PUNO",PUNO,PLATERIA,-15.933322661461414,-69.86243526113425,OFICIAL_ORIGINAL,SIN_EPS_IDENTIFICADA,NO,NO,OFICIAL
2701872,"CONSTRUCCION DE POZO EN EL(LA) CENTRO POBLADO CCOMERMOCCO Y CHAMAKANI MEDIANTE ANILLOS DE CONCRETO EN EL  DISTRITO DE NICASIO, PROVINCIA LAMPA, DEPARTAMENTO PUNO",LAMPA,NICASIO,-15.190642497368758,-70.28708815589344,OFICIAL_ORIGINAL,SIN_EPS_IDENTIFICADA,NO,NO,OFICIAL
2673752,"AMPLIACION DEL SERVICIO DE ALCANTARILLADO U OTRAS FORMAS DE DISPOSICIÓN SANITARIA DE EXCRETAS EN CENTRO POBLADO AJJATIRA ,    DISTRITO DE PEDRO VILCA APAZA DE LA PROVINCIA DE SAN ANTONIO DE PUTINA DEL DEPARTAMENTO DE PUNO",SAN ANTONIO DE PUTINA,PEDRO VILCA APAZA,-15.056141457954547,-69.88933523831096,OFICIAL_ORIGINAL,SIN_EPS_IDENTIFICADA,NO,NO,OFICIAL
2660135,"CONSTRUCCION DE RESERVORIO, CAPTACION DE AGUA , LÍNEA DE CONDUCCIÓN Y RED DE DISTRIBUCION EN EL(LA) SISTEMA DE AGUA POTABLE EN EL SECTOR CCAJJE DE LA COMUNIDAD DE CHUCASUYO CCAJJE DEL CENTRO POBLADO DE MOLINO DEL  DISTRITO DE JULI, PROVINCIA CHUCUITO, DEPARTAMENTO PUNO",CHUCUITO,JULI,-16.195855819968834,-69.41334009707153,OFICIAL_ORIGINAL,SIN_EPS_IDENTIFICADA,NO,NO,OFICIAL
2685497,"ADQUISICION DE CENTRAL DE GENERACION FOTOVOLTAICA RENOVACION DE EQUIPO DE OTROS ACTIVOS COMPLEMENTARIOS EN EL(LA) SISTEMA DE AGUA POTABLE RURAL  DISTRITO DE PAUCARCOLLA, PROVINCIA PUNO, DEPARTAMENTO PUNO",PUNO,PAUCARCOLLA,-15.743953320548892,-70.05019867959935,OFICIAL_ORIGINAL,SIN_EPS_IDENTIFICADA,NO,NO,OFICIAL
2734424,"CONSTRUCCION DE SISTEMA DE ABASTECIMIENTO DE AGUA POTABLE EN EL(LA) EN LA ZONA NORTE DE LA CIUDAD DE PUNO  DISTRITO DE PUNO, PROVINCIA PUNO, DEPARTAMENTO PUNO",PUNO,PUNO,-15.8196294159746,-70.03240772357542,OFICIAL_ORIGINAL,EMSAPUNO S.A.,SI,SI,OFICIAL
2709943,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE URBANO Y MEJORAMIENTO DEL SERVICIO DE ALCANTARILLADO EN SERVICIO DE SANEAMIENTO BASICO EN EL BARRIO PEDRO VILCAPAZA   DISTRITO DE POTONI DE LA PROVINCIA DE AZANGARO DEL DEPARTAMENTO DE PUNO,AZANGARO,POTONI,-14.387825287113795,-70.10576080363587,OFICIAL_ORIGINAL,SIN_EPS_IDENTIFICADA,NO,NO,OFICIAL
2318821,"MEJORAMIENTO, AMPLIACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO EN LOS SECTORES DE ANGOSTURA, APHARUYO Y QUEÑUANI, DISTRITO DE ANTAUTA - MELGAR - PUNO",MELGAR,ANTAUTA,-14.2997287,-70.2919047,APROXIMADA_DISTRITO,SIN_EPS_IDENTIFICADA,NO,NO,APROXIMADA
2342822,"CREACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO RURAL EN LAS COMUNIDADES DE SAN JOSÉ DE QUESCA Y ALTO SAN MIGUEL ANEXO MEJANI, DISTRITO DE ARAPA - AZANGARO - PUNO",AZANGARO,ARAPA,-15.1391169,-70.1095722,APROXIMADA_DISTRITO,SIN_EPS_IDENTIFICADA,NO,NO,APROXIMADA
