Código Único,Nombre de inversión,ARCHIVO_ORIGEN,UBIGEO_DESDE_NOMBRE,UBIGEO_VALIDADO_PMI,UBIGEO_FINAL_VALIDADO,PMI_ENCONTRADO,COINCIDE_NOMBRE_PMI,METODO_EXTRACCION_UBIGEO,CONFIANZA_UBIGEO,ESTADO_UBIGEO,UBIGEOS_CANDIDATOS,OBSERVACION_UBIGEO
2402140.0,"MEJORAMIENTO DE DRENAJE PLUVIAL EN LA CALLE LORETO C-04 Y C-06, CALLE PROSPERO C-05, C-06 Y C-07, CALLE ALFONSO UGARTE C-05 Y C-06, CALLE SACHACHORRO C-04, CALLE COMERCIO C-01, CALLE MIRAFLORES C-02 Y C-03, CALLE HUALLAGA C-01 Y C-03, CALLE PROGRESO C-01 Y C-05, CALLE LIBERTAD C-01 Y C-04,  DISTRITO DE SAN ANTONIO - PROVINCIA DE SAN MARTIN - DEPARTAMENTO DE SAN MARTIN",Cartera_260824-123814.xlsx,220912,,220912,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,220912,Coincidencia resuelta usando provincia SAN MARTIN
2292736.0,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE, SANEAMIENTO Y DISPOSICION DE EXCRETAS EN LA PEQUEÑA CIUDAD DE PALMAPAMPA Y LAS LOCALIDADES DE MONTERRICO, PICHIWILLCA, SAN AGUSTIN, BUENOS AIRES, CHAUPIMAYO, UNION CATARATA, SANABAMBA Y VILLARICA",Cartera_260824-123814.xlsx,,050509,,SI,NO,VALIDADO_PMI_POR_CUI,BAJA,REVISAR_CONFLICTO,,"No se detectó patrón ""DISTRITO DE"" en el nombre | Distrito PMI (SAMUGARI) no encontrado en nombre de inversión"
2399586.0,ESQUEMA ANEXO 22-PAMPA DE JICAMARCA DE CANTO GRANDE - SECTORIZACIÓN Y AMPLIACIÓN  DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO - DISTRITO DE SAN ANTONIO DE HUAROCHIRI,Cartera_260824-123814.xlsx,,150716,150716,SI,SI,VALIDADO_PMI_POR_CUI,ALTA,RESUELTO,,Distrito SAN ANTONIO DE HUAROCHIRI no encontrado en GPKG | Validado por PMI: SAN ANTONIO
2455143.0,"CREACION DEL SISTEMA DE DRENAJE PLUVIAL EN LOS JIRONES SANCHEZ CERRO C-7, ULISES REATEGUI C-1 Y C-7, PRLG. ULISES REATEGUI C-1, JUAN FLORES C-3 A LA C-6, UCAYALI C-5 A LA -7, PARAISO C-1Y C-2, HUIMBAYOC C-1, PROGRESO C-4, BUENOS AIRES C-1, C-3 Y C-4, BENAVIDES C-3 A LA C-5, ARNALDO YALTA C-1 A LA C-3, AGUIRRE C-2, PSJ LA POSTA MEDICA HUIMBAYOC DEL DISTRITO DE HUIMBAYOC - PROVINCIA DE SAN MARTIN - DEPARTAMENTO DE SAN MARTIN",Cartera_260824-123814.xlsx,220907,,220907,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,220907,Coincidencia exacta y única por nombre
2094736.0,GESTION DEL PROGRAMA Y OTROS - PROGRAMA DE MEDIDAS DE RAPIDO IMPACTO II,Cartera_260824-123814.xlsx,,,,NO,NO,FALLIDO,BAJA,REVISAR_CONFLICTO,,"No se detectó patrón ""DISTRITO DE"" en el nombre | Datos PMI no cruzaron con GPKG (- TODOS - - - TODOS -)"
2167692.0,"CONSTRUCCION Y EQUIPAMIENTO DE UNA NUEVA PLANTA DE TRATAMIENTO DE AGUA POTABLE DE CALANA, DISTRITO DE CALANA PROVINCIA DE TACNA, REGION TACNA",Cartera_260824-123814.xlsx,230103,,230103,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,230103,Coincidencia exacta y única por nombre
2348792.0,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DEL SISTEMA DE ALCANTARILLADO EN LA LOCALIDAD DE SAN CRISTOBAL DE SISA DEL DISTRITO DE SAN HILARION - PROVINCIA DE PICOTA - DEPARTAMENTO DE SAN MARTIN,Cartera_260824-123814.xlsx,220707,,220707,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,220707,Coincidencia exacta y única por nombre
2344332.0,INSTALACION COMPLEMENTARIA DE REDES SECUNDARIAS Y CONEXIONES DOMICILIARIAS DE AGUA POTABLE Y ALCANTARILLADO DEL ESQUEMA ÑAÑA Y ANEXOS DISTRITO LURIGANCHO CHOSICA,Cartera_260824-123814.xlsx,,150118,150118,SI,SI,VALIDADO_PMI_POR_CUI,ALTA,RESUELTO,,"No se detectó patrón ""DISTRITO DE"" en el nombre | Validado por PMI: LURIGANCHO"
2387810.0,"MEJORAMIENTO Y AMPLIACION DE LOS SISTEMAS DE AGUA POTABLE, ALCANTARILLADO Y TRATAMIENTO DE LAS AGUAS RESIDUALES DE LA CIUDAD DE HUARMEY  DISTRITO DE HUARMEY - PROVINCIA DE HUARMEY - DEPARTAMENTO DE ANCASH",Cartera_260824-123814.xlsx,021101,,021101,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,021101,Coincidencia exacta y única por nombre
2226478.0,"MEJORAMIENTO, AMPLIACION SISTEMA DE AGUA POTABLE, SANEAMIENTO Y TRATAMIENTO DE AGUAS SERVIDAS DE LA CIUDAD DE NAUTA, PROVINCIA DE LORETO - LORETO",Cartera_260824-123814.xlsx,,160301,160301,SI,SI,VALIDADO_PMI_POR_CUI,ALTA,RESUELTO,,"No se detectó patrón ""DISTRITO DE"" en el nombre | Validado por PMI: NAUTA"
