CODIGO_UNICO,NOMBRE_INVERSION,UBIGEO_MEF,UBIGEO_ESPACIAL,DISTRITO_MEF,DISTRITO_ESPACIAL,PROVINCIA_MEF,PROVINCIA_ESPACIAL,TIPO_COORDENADA,COINCIDE_UBIGEO,ES_GENERICO
2235909,"INSTALACION DEL SISTEMA AGUA POTABLE Y SANEAMIENTO EN LAS COMUNIDADES DE SAN MIGUEL DE PIÑUTANI, LACOTUYO CHOCONAPI Y LA PARCIALIDAD DE SAN PEDRO DE MOROCOLLO DEL DISTRITO DE ILAVE, PROVINCIA DE EL COLLAO - PUNO",210501,210501,ILAVE,ILAVE,EL COLLAO,EL COLLAO,APROXIMADA_DISTRITO,True,False
2488413,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE EN LAS COMUNIDADES Y PARCIALIDADES DE ZONA LAGO DEL DISTRITO DE HUANCANE - PROVINCIA DE HUANCANE - DEPARTAMENTO DE PUNO,210601,210601,HUANCANE,HUANCANE,HUANCANE,HUANCANE,OFICIAL_ORIGINAL,True,False
2209723,"INSTALACION DEL SISTEMA FAMILIAR DE TRATAMIENTO DE AGUAS RESIDUALES EN LAS COMUNIDADES Y PARCIALIDADES DE LA ZONA JORGE BASADRE Y ZONA LAGO, DISTRITO DE HUANCANE, PROVINCIA DE HUANCANE - PUNO",210601,210601,HUANCANE,HUANCANE,HUANCANE,HUANCANE,APROXIMADA_DISTRITO,True,False
2311215,"AMPLIACION Y CREACIÓN DE LOS SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO SANITARIO EN LAS URBANIZACIONES AZIRUNI III ETAPA (CIUDAD JARDÍN) Y SAN SANTIAGO DEL CENTRO POBLADO DE JAYLLIHUAYA, DISTRITO DE PUNO, PROVINCIA DE PUNO - PUNO",210101,210101,PUNO,PUNO,PUNO,PUNO,APROXIMADA_LOCALIDAD,True,False
2305251,"MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y DISPOSICION DE EXCRETAS , EN LA COMUNIDAD CAMPESINA DE CAPULLANI, PROVINCIA DE PUNO - PUNO",210101,210101,PUNO,PUNO,PUNO,PUNO,APROXIMADA_DISTRITO,True,False
2153862,"MEJORAMIENTO Y AMPLIACIÓN DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO BÁSICO DE LA LOCALIDAD DE ISCAYAPI, DISTRITO ARAPA, PROVINCIA AZÁNGARO, DEPARTAMENTO DE PUNO",210203,210203,ARAPA,ARAPA,AZANGARO,AZANGARO,APROXIMADA_DISTRITO,True,False
2613435,"REPARACION DE SISTEMA DE TRATAMIENTO DE AGUAS RESIDUALES CONSTRUCCION DE CERCO PERIMETRICO, SISTEMA DE BOMBEO Y LÍNEA DE IMPULSIÓN EN EL(LA) PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES DE ALTO PUNO  DISTRITO DE PUNO, PROVINCIA PUNO, DEPARTAMENTO PUNO",210101,210101,PUNO,PUNO,PUNO,PUNO,OFICIAL_ORIGINAL,True,False
2627092,"CONSTRUCCION DE CERCO PERIMETRICO EN EL(LA) EPS NOR PUNO S.A. - AZANGARO  DISTRITO DE AZANGARO, PROVINCIA AZANGARO, DEPARTAMENTO PUNO",210201,210201,AZANGARO,AZANGARO,AZANGARO,AZANGARO,OFICIAL_ORIGINAL,True,False
2651835,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE RURAL EN LA COMUNIDAD CAMPESINA DE SIALE DEL  DISTRITO DE CAPACHICA - PROVINCIA DE PUNO - DEPARTAMENTO DE PUNO,210105,210105,CAPACHICA,CAPACHICA,PUNO,PUNO,OFICIAL_ORIGINAL,True,False
2695001,"CONSTRUCCION DE CAPTACION DE AGUA  EN EL(LA) SISTEMA DE AGUA POTABLE Y LA CONSTRUCCION DE ESTACION DE BOMBEO Y LINEA DE IMPULSION EN EL CENTRO POBLADO CAMATA, DISTRITO DE PLATERIA, PROVINCIA PUNO, DEPARTAMENTO PUNO",210112,210106,PLATERIA,CHUCUITO,PUNO,PUNO,OFICIAL_ORIGINAL,False,False
