CODIGO_UNICO,NOMBRE_INVERSION,PROVINCIA,DISTRITO,ESTADO,SITUACION,AVANCE_FISICO,AVANCE_EJECUCION,ULT_FEC_DECLA_ESTIM,ANTIGUEDAD_REPORTE_FISICO_DIAS,ANTIGUEDAD_REPORTE_FISICO_ANIOS,TIENE_F12B,TIENE_AVAN_FISICO,PRESUPUESTO_EJECUTADO,COSTO_ACTUALIZADO,ADVERTENCIA_AVANCE_FISICO
2276132,"MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE Y SANEAMIENTO DEL CENTRO POBLADO AYO, DISTRITO DE SANDIA , PROVINCIA DE SANDIA - PUNO",SANDIA,SANDIA,ACTIVO,VIABLE,100.0,100.0,2020-08-19 22:04:11,2195.0,6.0,SI,SI,3197399.04,3428474.03,Reporte físico desactualizado
2283136,"MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE Y SANEAMIENTO DEL CENTRO POBLADO SUARA, DISTRITO DE SANDIA , PROVINCIA DE SANDIA - PUNO",SANDIA,SANDIA,ACTIVO,VIABLE,95.99,95.96,2020-08-21 15:51:43,2193.0,6.0,SI,SI,4254189.97,4349784.93,Reporte físico desactualizado
2209723,"INSTALACION DEL SISTEMA FAMILIAR DE TRATAMIENTO DE AGUAS RESIDUALES EN LAS COMUNIDADES Y PARCIALIDADES DE LA ZONA JORGE BASADRE Y ZONA LAGO, DISTRITO DE HUANCANE, PROVINCIA DE HUANCANE - PUNO",HUANCANE,HUANCANE,ACTIVO,VIABLE,99.47,99.48,2020-12-02 12:32:42,2090.0,5.7,SI,SI,17709215.97,17801554.91,Reporte físico desactualizado
2467832,"CONSTRUCCION DE SISTEMA DE BOMBEO Y SEPARACIÓN ANULAR VERTICAL EN EL(LA) ABASTECIMIENTO DE AGUA POTABLE EN LA LOCALIDAD LARAQUERI, DISTRITO DE PICHACANI, PROVINCIA PUNO, DEPARTAMENTO PUNO",PUNO,PICHACANI,ACTIVO,APROBADO,100.0,95.5,2021-01-13 16:41:53,2048.0,5.6,SI,SI,152881.8,182868.8,Reporte físico desactualizado
2146210,"MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE EN EL SECTOR DE HUAYRAPATA DEL C.P. DE HUAYRAPATA, DISTRITO DE CHUCUITO - PUNO - PUNO",PUNO,CHUCUITO,ACTIVO,VIABLE,97.89,97.89,2021-01-14 20:38:14,2047.0,5.6,SI,SI,208693.4,213193.4,Reporte físico desactualizado
2245270,"INSTALACION DE LOS SERVICIOS DEL SISTEMA DE AGUA POTABLE Y DISPOSICIÓN SANITARIA DE EXCRETAS EN LAS COMUNIDADES DE VIZCACHANI Y PATABAMBA, DISTRITO DE ORURILLO - MELGAR - PUNO",MELGAR,ORURILLO,ACTIVO,VIABLE,100.0,100.0,2021-01-15 09:29:21,2046.0,5.6,SI,SI,7326652.25,7390705.0,Reporte físico desactualizado
2505331,"ADQUISICION DE TERRENO EN EL(LA) SECTOR YURAQ APACHETA PARA LA CONSTRUCCIÓN DE INFRAESTRUCTURA PARA CAPTACIÓN DE AGUA Y RESERVORIO EN LA LOCALIDAD LEQUEPATA, DISTRITO DE VILAVILA, PROVINCIA LAMPA, DEPARTAMENTO PUNO",LAMPA,VILAVILA,ACTIVO,APROBADO,100.0,100.0,2021-01-20 21:57:19,2041.0,5.6,NO,SI,6000.0,6000.0,Reporte físico desactualizado
2290908,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO BASICO EN LA COMUNIDAD DE COMBUCO, DISTRITO DE QUILCAPUNCU - SAN ANTONIO DE PUTINA - PUNO",SAN ANTONIO DE PUTINA,QUILCAPUNCU,ACTIVO,VIABLE,100.0,100.0,2021-01-20 10:21:39,2041.0,5.6,SI,SI,2252083.68,2261515.0,Reporte físico desactualizado
2217277,"AMPLIACION Y  MEJORAMIENTO DEL SISTEMA DE SANEAMIENTO BASICO INTEGRAL EN LA COMUNIDAD DE CUSIPATA, DISTRITO DE CHUCUITO - PUNO - PUNO",PUNO,CHUCUITO,ACTIVO,VIABLE,100.0,99.78,2021-03-11 10:40:31,1991.0,5.5,SI,SI,718029.74,719605.07,Reporte físico desactualizado
2200478,"INSTALACION DE SERVICIOS BASICOS DE AGUA POTABLE Y LETRINAS ECOLOGICAS EN LA C.C. DE YAPUTIRA, SECTORES, PAJCHANI, HUARACUYO, SUCASUCANI, MICAYANI, HUICHOCOLLO, Y C.P. DE MACHACAMARCA, DISTRITO DE VILQUE CHICO - HUANCANE - PUNO",HUANCANE,VILQUE CHICO,ACTIVO,VIABLE,10.48,11.45,2021-04-14 16:32:20,1957.0,5.4,SI,SI,5474840.36,5776061.0,Reporte físico desactualizado
2182598,"MEJORAMIENTO DEL SISTEMA DE SANEAMIENTO INTEGRAL EN LOS CP ALTOS HUAYRAPATA, CC MULLUCHINI, CRUZPATA, CHUYMACOLLO, JALLIRI, KIMSA LACCAYA, POMAOCA Y TOTORANI, DISTRITO DE HUAYRAPATA - MOHO - PUNO",MOHO,HUAYRAPATA,ACTIVO,VIABLE,98.79,98.84,2021-04-14 17:46:17,1957.0,5.4,SI,SI,5592794.36,5692508.55,Reporte físico desactualizado
2239679,"MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DEL CENTRO POBLADO DE TRAPICHE, DISTRITO DE ANANEA - SAN ANTONIO DE PUTINA - PUNO",SAN ANTONIO DE PUTINA,ANANEA,ACTIVO,VIABLE,100.0,100.0,2021-04-15 10:44:41,1956.0,5.4,SI,SI,1549234.02,1549234.47,Reporte físico desactualizado
2198515,"INSTALACION DEL SISTEMA DE AGUA POTABLE Y EQUIPO SANITARIO EN LA PARCIALIDAD DE TOQUEPANI, DISTRITO DE INCHUPALLA - HUANCANE - PUNO",HUANCANE,INCHUPALLA,ACTIVO,VIABLE,100.0,100.0,2021-04-15 10:31:19,1956.0,5.4,SI,SI,620652.9,620652.9,Reporte físico desactualizado
2272457,"CREACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO RURAL EN LA COMUNIDAD DE SANTA ELENA Y ANEXO VILUYO, DISTRITO DE NUNOA - MELGAR - PUNO",MELGAR,NUÑOA,ACTIVO,VIABLE,100.0,100.0,2021-04-15 14:28:07,1956.0,5.4,SI,SI,1473223.98,1473223.99,Reporte físico desactualizado
2236439,MEJORAMIENTO Y AMPLIACION DE LOS SISTEMAS DE ALCANTARILLADO Y TRATAMIENTO DE AGUAS SERVIDAS DE LA LOCALIDAD DE SANTA LUCÍA - SANTA LUCÍA - LAMPA - PUNO,LAMPA,SANTA LUCIA,ACTIVO,VIABLE,95.13,95.4,2021-04-15 17:02:40,1956.0,5.4,SI,SI,7482417.18,7952605.16,Reporte físico desactualizado
2285079,"INSTALACION SISTEMA DE AGUA POTABLE Y DISPOSICION DE EXCRETAS EN LAS COMUNIDADES DE TORKOPI PAMPA, LLALLAHUA, CCAPAJON Y TULANI KETEKETE, DISTRITO DE SANTIAGO DE PUPUJA - AZANGARO - PUNO",AZANGARO,SANTIAGO DE PUPUJA,ACTIVO,VIABLE,99.96,98.64,2021-04-15 00:25:06,1956.0,5.4,SI,SI,7521447.41,7581414.83,Reporte físico desactualizado
2248498,"INSTALACION DE LOS SERVICIOS DE SANEAMIENTO INTEGRAL EN LA ASOCIACION DE PRODUCTORES MICROCUENCA URINSAYA PUNA ,, DISTRITO DE NUNOA - MELGAR - PUNO",MELGAR,NUÑOA,ACTIVO,VIABLE,100.0,100.0,2021-04-16 15:20:01,1955.0,5.4,SI,SI,1598140.92,1598140.92,Reporte físico desactualizado
2145648,"AMPLIACION DEL SISTEMA DE AGUA POTABLE PARA LA COMUNIDAD DE KARANA, DISTRITO DE CHUCUITO - PUNO - PUNO",PUNO,CHUCUITO,ACTIVO,VIABLE,78.56,75.34,2021-05-07 21:01:42,1934.0,5.3,SI,SI,200086.6,213654.61,Reporte físico desactualizado
2248246,"MEJORAMIENTO, AMPLIACION DEL  SISTEMA DE AGUA POTABLE Y ALCANTARILLADO EN LA LOCALIDAD DE SINA, DISTRITO DE SINA - SAN ANTONIO DE PUTINA - PUNO",SAN ANTONIO DE PUTINA,SINA,ACTIVO,VIABLE,98.57,98.57,2021-06-10 22:24:19,1900.0,5.2,SI,SI,4536259.85,4631189.91,Reporte físico desactualizado
2335000,"AMPLIACION Y MEJORAMIENTO DE LOS SERVICIOS DE AGUA POTABLE Y DISPOSICIÓN SANITARIA DE EXCRETAS EN LA MICROCUENCA YANAMAYO, DISTRITO DE AZANGARO, PROVINCIA DE AZANGARO - PUNO",AZANGARO,AZANGARO,ACTIVO,VIABLE,100.0,100.0,2021-06-29 12:15:47,1881.0,5.1,SI,SI,21027228.51,21166662.47,Reporte físico desactualizado
2225512,"MEJORAMIENTO DEL SISTEMA DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO BASICO EN EL CENTRO POBLADO POTONI, DISTRITO DE SINA - SAN ANTONIO DE PUTINA - PUNO",SAN ANTONIO DE PUTINA,SINA,ACTIVO,VIABLE,82.98,82.98,2021-07-06 22:37:14,1874.0,5.1,SI,SI,3655497.95,3740233.16,Reporte físico desactualizado
2332959,"CREACION Y MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO RURAL EN LA MICROCUENCA AZANGARO II, DISTRITO AZANGARO Y ASILLO, PROVINCIA DE AZANGARO - PUNO",AZANGARO,AZANGARO,ACTIVO,VIABLE,86.42,85.87,2021-07-23 11:50:58,1857.0,5.1,SI,SI,22569836.8,22642159.81,Reporte físico desactualizado
2192373,"INSTALACION DE LOS SERVICIOS DE AGUA POTABLE Y DISPOSICIÓN SANITARIA DE EXCRETAS EN PRIMER SECTOR DE LA COMUNIDAD CAMPESINA DE COLLANA (TITILAQUE Y JACHAGANI), DISTRITO DE TARACO - HUANCANE - PUNO",HUANCANE,TARACO,ACTIVO,VIABLE,100.0,99.18,2021-08-04 09:08:08,1845.0,5.1,SI,SI,1344783.76,1345903.49,Reporte físico desactualizado
2309742,"MEJORAMIENTO DE LOS SERVICIOS  DE AGUA POTABLE Y TRATAMIENTO DE  EXCRETAS EN LA PARCIALIDAD  CENTRAL  ACCOPATA, DISTRITO DE CARACOTO - SAN ROMAN - PUNO",SAN ROMAN,CARACOTO,ACTIVO,VIABLE,100.0,99.81,2021-08-04 09:48:49,1845.0,5.1,SI,SI,3390210.43,3738602.62,Reporte físico desactualizado
2482299,AMPLIACION DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO EN LA ZONA URBANA DEL  DISTRITO DE SAMAN - PROVINCIA DE AZANGARO - DEPARTAMENTO DE PUNO,AZANGARO,SAMAN,ACTIVO,VIABLE,100.0,97.84,2021-09-16 15:06:32,1802.0,4.9,SI,SI,174133.5,185085.41,Reporte físico desactualizado
2492703,"ADQUISICION DE TERRENO EN EL(LA) CENTRO POBLADO DE YANAMAYO PARA LA CONSTRUCCIÓN DE LA PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES DEL PROYECTO MEJORAMIENTO Y REHABILITACION DEL SISTEMA DE AGUA POTABLE, ALCANTARILLADO E INSTALACION DEL SISTEMA DE TRATAMIENTO DE AGUAS SERVIDAS EN LA LOCALIDAD YANAMAYO, DISTRITO DE SAN JUAN DEL ORO, PROVINCIA SANDIA, DEPARTAMENTO PUNO",SANDIA,SAN JUAN DEL ORO,ACTIVO,APROBADO,100.0,100.0,2021-09-21 15:49:27,1797.0,4.9,SI,SI,59000.0,59000.0,Reporte físico desactualizado
2244529,"INSTALACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO PARA LA LOCALIDAD DE TERAQUECHA, DISTRITO DE CRUCERO - CARABAYA - PUNO",CARABAYA,CRUCERO,ACTIVO,VIABLE,100.0,99.05,2021-09-29 12:14:23,1789.0,4.9,SI,SI,1090337.17,1236017.67,Reporte físico desactualizado
2309761,"MEJORAMIENTO DE LOS SERVICIOS  DE AGUA POTABLE Y TRATAMIENTO DE  EXCRETAS EN LA  COMUNIDAD  DE COLLANA SEGUNDA Y  COLLANA CHILLORA, DISTRITO DE CARACOTO - SAN ROMAN - PUNO",SAN ROMAN,CARACOTO,ACTIVO,VIABLE,100.0,100.0,2021-09-29 11:59:33,1789.0,4.9,SI,SI,4676792.52,4679798.65,Reporte físico desactualizado
2422641,"ADQUISICIÓN DE EQUIPOS DE BOMBEO A TRAVÉS DE LA LÍNEA DE FLUJO, KITS DE VÁLVULAS Y MEDIDOR DE PANEL Y TABLERO DE CONTROL EN EL(LA) CÁMARA DE BOMBEO CENTRAL DE LA EPS SEDAJULIACA SA EN LA LOCALIDAD JULIACA, DISTRITO DE JULIACA, PROVINCIA SAN ROMAN, DEPARTAMENTO PUNO",SAN ROMAN,JULIACA,ACTIVO,APROBADO,77.88,77.88,2021-09-30 17:00:54,1788.0,4.9,SI,SI,709374.0,1482812.64,Reporte físico desactualizado
2422547,"ADQUISICIÓN DE KITS DE VÁLVULAS EN EL(LA) RESERVORIOS N° 01, 02, 03, 04, 05 Y 06 DE LA EPS SEDAJULIACA SA EN LA LOCALIDAD JULIACA, DISTRITO DE JULIACA, PROVINCIA SAN ROMAN, DEPARTAMENTO PUNO",SAN ROMAN,JULIACA,ACTIVO,APROBADO,76.59,76.59,2021-09-30 17:18:06,1788.0,4.9,SI,SI,273292.0,421048.19,Reporte físico desactualizado
2422586,"ADQUISICIÓN DE HIDRANTES EN EL(LA) SISTEMA DE DISTRIBUCIÓN DE AGUA POTABLE DE LA EPS SEDAJULIACA S.A. EN LA LOCALIDAD JULIACA, DISTRITO DE JULIACA, PROVINCIA SAN ROMAN, DEPARTAMENTO PUNO",SAN ROMAN,JULIACA,ACTIVO,APROBADO,77.77,77.77,2021-09-30 17:25:37,1788.0,4.9,SI,SI,124379.0,176433.2,Reporte físico desactualizado
2422744,"RENOVACIÓN DE RESERVORIOS EN EL(LA) DEL SISTEMA DE AGUA POTABLE DEL DISTRITO DE CARACOTO (POR PROCESO DE INTEGRACIÓN DEL DISTRITO DE CARACOTO A LA EPS SEDAJULIACA S.A.) EN LA LOCALIDAD CARACOTO, DISTRITO DE CARACOTO, PROVINCIA SAN ROMAN, DEPARTAMENTO PUNO",SAN ROMAN,CARACOTO,ACTIVO,APROBADO,92.95,92.95,2021-09-30 17:59:22,1788.0,4.9,SI,SI,34537.0,78990.03,Reporte físico desactualizado
