CODIGO_UNICO,NOMBRE_INVERSION,LOCALIDAD_EXTRAIDA,CONSULTA_NOMINATIM,DISPLAY_NAME_NOMINATIM,LATITUD,LONGITUD,PROVINCIA_ESPERADA,DISTRITO_ESPERADO,COINCIDE_DISTRITO,COINCIDE_PROVINCIA,ESTADO_VALIDACION,MOTIVO_REVISION
2311215,"AMPLIACION Y CREACIÓN DE LOS SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO SANITARIO EN LAS URBANIZACIONES AZIRUNI III ETAPA (CIUDAD JARDÍN) Y SAN SANTIAGO DEL CENTRO POBLADO DE JAYLLIHUAYA, DISTRITO DE PUNO, PROVINCIA DE PUNO - PUNO",JAYLLIHUAYA,"JAYLLIHUAYA, PUNO, PUNO, Puno, Peru","Jayllihuaya, Puno, 05151, Perú",-15.8787471,-69.9751057,PUNO,PUNO,SI,SI,OK,
2153862,"MEJORAMIENTO Y AMPLIACIÓN DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO BÁSICO DE LA LOCALIDAD DE ISCAYAPI, DISTRITO ARAPA, PROVINCIA AZÁNGARO, DEPARTAMENTO DE PUNO",ISCAYAPI,"ISCAYAPI, ARAPA, AZANGARO, Puno, Peru","Iscayapi, Arapa, Azángaro, Puno, Perú",-15.1306529,-70.0788978,AZANGARO,ARAPA,SI,NO,REVISAR,Provincia no coincide
2150046,"MEJORAMIENTO Y AMPLIACION DE LOS SISTEMAS DE AGUA POTABLE, REDES DE DESAGUE Y TRATAMIENTO DE AGUAS SERVIDAS EN LA LOCALIDAD DE CAPASO, DISTRITO DE CAPAZO - EL COLLAO - PUNO",CAPASO,"CAPASO, CAPAZO, EL COLLAO, Puno, Peru","Capaso, Capazo, El Collao, Puno, Perú",-17.1836657,-69.7446898,EL COLLAO,CAPAZO,SI,SI,OK,
2142933,"MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE DESAGUE- REDES DISTRIBUICION CONEXIONES DOMICILIARIAS  Y PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES  LOCALIDAD CRUCERO, DISTRITO DE CRUCERO - CARABAYA - PUNO",CRUCERO,"CRUCERO, CRUCERO, CARABAYA, Puno, Peru","Crucero, Carabaya, Puno, Perú",-14.3611964,-70.0234904,CARABAYA,CRUCERO,SI,SI,OK,
2311764,"MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y DISPOSICION DE EXCRETAS  EN EL SECTOR DE SANTA ANA, DISTRITO DE SAN JUAN DEL ORO - SANDIA - PUNO",SANTA ANA,"SANTA ANA, SAN JUAN DEL ORO, SANDIA, Puno, Peru","Santa Ana, San Juan del Oro, Sandia, Puno, Perú",-14.1594917,-69.0680999,SANDIA,SAN JUAN DEL ORO,SI,SI,OK,
2161282,"INSTALACION DEL SISTEMA DE AGUA POTABLE Y LETRINAS EN LAS COMUNIDADES DE ESQUINAPATA Y TUPAC AMARU, DISTRITO DE ARAPA - AZANGARO - PUNO",ESQUINAPATA,"ESQUINAPATA, ARAPA, AZANGARO, Puno, Peru","Esquinapata, Arapa, Azángaro, Puno, Perú",-15.1703787,-70.1880747,AZANGARO,ARAPA,SI,NO,REVISAR,Provincia no coincide
2221138,"INSTALACION DEL SISTEMA DE AGUA POTABLE Y SERVICIO HIGIENICO CON ARRASTRE HIDRAULICO EN LA COMUNIDAD DE MODELO, DISTRITO DE ASILLO - AZANGARO - PUNO",MODELO,"MODELO, ASILLO, AZANGARO, Puno, Peru","Lacaycunca Modelo, Asillo, Azángaro, Puno, Perú",-14.7192383,-70.2938243,AZANGARO,ASILLO,SI,NO,REVISAR,Provincia no coincide
2133298,"MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE ASILLO , DISTRITO DE ASILLO - AZANGARO - PUNO",ASILLO,"ASILLO, ASILLO, AZANGARO, Puno, Peru","Asillo, Azángaro, Puno, Perú",-14.7865915,-70.3540033,AZANGARO,ASILLO,SI,NO,REVISAR,Provincia no coincide
2189348,"MEJORAMIENTO Y AMPLIACION DE LOS  SERVICIOS DE AGUA POTABLE Y DISPOSICIÓN SANITARIA DE EXCRETAS DE LA COMUNIDAD CAMPESINA DE PESQUECUCHO, DISTRITO DE ASILLO, AZANGARO - PUNO.",PESQUECUCHO,"PESQUECUCHO, ASILLO, AZANGARO, Puno, Peru","Pesquecucho, Posoconi, Asillo, Azángaro, Puno, Perú",-14.7932325,-70.4228675,AZANGARO,ASILLO,SI,NO,REVISAR,Provincia no coincide
2101883,"INSTALACION DEL SISTEMA DE AGUA POTABLE EN LA COMUNIDAD HUAPACA SANTIAGO, DISTRITO DE POMATA - CHUCUITO - PUNO",HUAPACA SANTIAGO,"HUAPACA SANTIAGO, POMATA, CHUCUITO, Puno, Peru","Institución Educativa Huapaca Santiago, PU-1284, Pomata, Chucuito, Puno, Perú",-16.4019,-69.2871,CHUCUITO,POMATA,SI,SI,OK,
