CODIGO_UNICO,ORIGEN_CLASIFICACION,CODIGO_SNIP,NOMBRE_INVERSION,TIPO_INVERSION,NIVEL,SECTOR,ENTIDAD,NOMBRE_OPMI,NOMBRE_UF,NOMBRE_UEI,SEC_EJEC,NOMBRE_UEP,FUNCION,PROGRAMA,SUBPROGRAMA,DES_TIPOLOGIA,ESTADO,SITUACION,FECHA_REGISTRO,FECHA_VIABILIDAD,MARCO,MONTO_VIABLE,COSTO_ACTUALIZADO,CTRL_CONCURR,MONTO_LAUDO,MONTO_FIANZA,SALDO_EJECUTAR,REGISTRADO_PMI,PMI_ANIO_1,PMI_ANIO_2,PMI_ANIO_3,PMI_ANIO_4,PRIMER_DEVENGADO,ULTIMO_DEVENGADO,DEVEN_ACUMUL_ANIO_ANT,DEV_ANIO_ACTUAL,PIA_ANIO_ACTUAL,PIM_ANIO_ACTUAL,CERTIF_ANIO_ACTUAL,COMPROM_ANUAL_ANIO_ACTUAL,EXPEDIENTE_TECNICO,MONTO_ET_F8,TIENE_F8,ETAPA_F8,TIENE_F12B,TIENE_AVAN_FISICO,AVANCE_FISICO,AVANCE_EJECUCION,ULT_FEC_DECLA_ESTIM,FEC_INI_EJECUCION,FEC_FIN_EJECUCION,FEC_INI_EJEC_FISICA,FEC_FIN_EJEC_FISICA,INFORME_CIERRE,TIENE_F9,FEC_REG_F9,ETAPA_F9,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,LATITUD,LONGITUD,ALTERNATIVA,DES_MODALIDAD,IND_IOARR_EMERG,NUM_HABITANTES_BENEF,ANIO_PROCESO,LATITUD_MEF,LONGITUD_MEF,FUENTE_COORDENADA,TIPO_COORDENADA,ESTADO_ENRIQUECIMIENTO,PRESUPUESTO_EJECUTADO,AVANCE_FINANCIERO_CALCULADO,FECHA_REFERENCIA_EJECUCION,ESTADO_ACTUALIZACION_FISICA,ADVERTENCIA_AVANCE_FISICO,ANTIGUEDAD_REPORTE_FISICO_DIAS,MONTO_REFERENCIA,EPS_PRESTACION,TIENE_EPS_PRESTACION
2541783,OFICIAL_SANEAMIENTO,2541783,"REHABILITACIÓN DEL SERVICIO DE AGUA POTABLE Y SERVICIO DE TRATAMIENTO DE AGUAS RESIDUALES DE LA LOCALIDAD DE CHICHAS, DISTRITO DE CHICHAS, PROVINCIA DE CONDESUYOS, DEPARTAMENTO DE AREQUIPA",INTERVENCIONES IRI,GL,GOBIERNOS LOCALES,MUNICIPALIDAD DISTRITAL DE CHICHAS,,,UEMDNA DE LA MUNICIPALIDAD DISTRITAL DE CHICHAS,300418,MUNICIPALIDAD DISTRITAL DE CHICHAS,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,,ACTIVO,APROBADO,2022-01-31 00:00:00,2022-09-15 00:00:00,INVIERTE,631206.46,845511.7,0.0,0.0,0.0,0.0,NO,,,,,202312,202512,845511.7,0.0,,0,,,SI,,SI,Ejecución física (C),NO,NO,,,None,2023-06-01 00:00:00,2023-08-29 00:00:00,2023-06-01 00:00:00,2023-08-29 00:00:00,NO,NO,,,AREQUIPA,CONDESUYOS,CHICHAS,040604,-15.55549063040122,-72.83815504760736,,ADMINISTRACIÓN INDIRECTA - POR CONTRATA,NO,,2026,-15.55549063040122,-72.83815504760736,MEF_BANCO_INVERSIONES,OFICIAL_ORIGINAL,ORIGINAL_OK,845511.7,100.0,2026,SIN_AVANCE_FISICO,Sin avance físico registrado,,845511.7,,NO
2605198,OFICIAL_SANEAMIENTO,2605198,"REMODELACION DE CAPTACION DE AGUA  EN EL(LA) MANANTIAL DE CANAURAS,  DISTRITO DE LA JOYA, PROVINCIA AREQUIPA, DEPARTAMENTO AREQUIPA",INVERSIONES IOARR,GL,GOBIERNOS LOCALES,MUNICIPALIDAD DISTRITAL DE LA JOYA,OPMI DE LA MUNICIPALIDAD DISTRITAL DE LA JOYA,UF DE LA MUNICIPALIDAD DISTRITAL DE LA JOYA,UEI DE LA MUNICIPALIDAD DISTRITAL DE LA JOYA,300338,MUNICIPALIDAD DISTRITAL DE LA JOYA,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,SISTEMA DE SANEAMIENTO URBANO,ACTIVO,APROBADO,2023-07-25 00:00:00,2023-08-07 00:00:00,INVIERTE,428857.18,892378.3,0.0,0.0,0.0,366962.84,NO,,,,,202404,202504,525415.46,0.0,,0,,,SI,101868.17,SI,Ejecución física (C),SI,SI,7.28,7.28,2024-06-06 15:29:35,2024-01-01 00:00:00,2026-02-28 00:00:00,2024-04-08 00:00:00,2024-07-06 00:00:00,NO,NO,,,AREQUIPA,AREQUIPA,LA JOYA,040108,-16.37347629524863,-71.763476053441,,ADMINISTRACIÓN DIRECTA,NO,,2026,-16.37347629524863,-71.763476053441,MEF_BANCO_INVERSIONES,OFICIAL_ORIGINAL,ORIGINAL_OK,525415.46,58.87810808487834,2026,DESACTUALIZADO,Reporte físico desactualizado,808,892378.3,,NO
2402398,OFICIAL_SANEAMIENTO,2402398,CREACION DEL SERVICIO DEL SISTEMA DE DRENAJE PLUVIAL EN LA AVENIDA CHE GUEVARA DEL PUEBLO JOVEN CIUDAD BLANCA - DISTRITO DE PAUCARPATA - PROVINCIA DE AREQUIPA - REGIÓN AREQUIPA,PROYECTO DE INVERSION,GL,GOBIERNOS LOCALES,MUNICIPALIDAD DISTRITAL DE PAUCARPATA,OPMI DE LA MUNICIPALIDAD DISTRITAL DE PAUCARPATA,UF DE LA MUNICIPALIDAD DISTRITAL DE PAUCARPATA,UEI DE LA MUNICIPALIDAD DISTRITAL DE PAUCARPATA,300342,MUNICIPALIDAD DISTRITAL DE PAUCARPATA,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,SISTEMA DE TRATAMIENTO DE AGUAS RESIDUALES URBANO,ACTIVO,VIABLE,2017-12-07 00:00:00,2017-12-08 00:00:00,INVIERTE,819911.46,2720373.41,0.0,0.0,0.0,114447.28,NO,,,,,201806,202106,2605926.13,0.0,,0,,,SI,2511758.32,SI,Ejecución física (C),SI,NO,,,None,2018-02-01 00:00:00,2024-12-30 00:00:00,2018-02-01 00:00:00,2024-12-30 00:00:00,NO,NO,,,AREQUIPA,AREQUIPA,PAUCARPATA,040112,-16.405523334752697,-71.47985615774815,Instalación del sistema de drenaje y alcantarilla de tubería ISO 4435 S25 DN 315MM UF PROM En 159500 mConstrucción de caja de registro en 11959 m2 Buzones de Inspección en 11959 m2  Implementación de un programa de Mitigación ambiental,"ADMINISTRACIÓN INDIRECTA - POR CONTRATA,ADMINISTRACIÓN DIRECTA",NO,3560,2026,-16.405523334752697,-71.47985615774815,MEF_BANCO_INVERSIONES,OFICIAL_ORIGINAL,ORIGINAL_OK,2605926.13,95.79295696762452,2026,SIN_AVANCE_FISICO,Sin avance físico registrado,,2720373.41,,NO
2493185,OFICIAL_SANEAMIENTO,2493185,MEJORAMIENTO DE LOS SERVICIOS BASICOS AGUA POTABLE Y DESAGUE EN EL AA. HH. ALTO JUVENTUD  DISTRITO DE SAMUEL PASTOR - PROVINCIA DE CAMANA - DEPARTAMENTO DE AREQUIPA,PROYECTO DE INVERSION,GL,GOBIERNOS LOCALES,MUNICIPALIDAD DISTRITAL DE SAMUEL PASTOR,OPMI DE LA MUNICIPALIDAD DISTRITAL DE SAMUEL PASTOR,UF DE LA MUNICIPALIDAD DISTRITAL DE SAMUEL PASTOR,UEI DE LA MUNICIPALIDAD DISTRITAL DE SAMUEL PASTOR,300367,MUNICIPALIDAD DISTRITAL DE SAMUEL PASTOR,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,SISTEMA DE SANEAMIENTO URBANO,ACTIVO,VIABLE,2020-07-22 00:00:00,2020-07-24 00:00:00,INVIERTE,442546.83,473450.01,0.0,0.0,0.0,27349.53,NO,,,,,202209,202212,441100.48,0.0,0.0,5000,5000.0,5000.0,SI,814893.59,SI,Ejecución física (C),SI,SI,100.0,94.65,2026-03-02 08:59:09,2021-08-02 00:00:00,2026-06-27 00:00:00,2021-08-02 00:00:00,2026-06-27 00:00:00,NO,NO,,,AREQUIPA,CAMANA,SAMUEL PASTOR,040208,-16.614246287115662,-72.69852172023653,El proyecto comprende con las siguientes activadas Instalación de redes de alcantarillado con una longitud total  100461 ml de suministro e instalación de tubería uf dn 200mm conexiones domiciliarias l45 m aprox Construcción de 22 buzones de concreto de concreto armado d120m alturas h120m 200m 250m e 020 Conexiones domiciliarias de 39 UnidadesInstalación de buzones de 44 UnidadesInstalación de servicio de agua potable la instalación de tubería de PVC clase 10 sap ø1 12  para servicio de agua potable domiciliario con una longitud 100461 ml con conexiones domiciliarias con accesorios con válvulas Conexión a la red pública y medidores de 39 unidadesProgramas de seguridad prevención y mitigación ambientalCapacitación y sensibilización a la población,ADMINISTRACIÓN DIRECTA,NO,422,2026,-16.614246287115662,-72.69852172023653,MEF_BANCO_INVERSIONES,OFICIAL_ORIGINAL,ORIGINAL_OK,441100.48,93.16727651985897,2026,ACTUALIZADO,,174,473450.01,,NO
2328188,OFICIAL_SANEAMIENTO,364561,"CREACION DE LOS SERVICIOS DE AGUA Y DESAGÜE EN ASOCIACIONES DE VIVIENDAS, PEQUEÑOS ARTESANOS Y COMERCIANTES DE VILLA SOCABAYA, GRANJA VILLA DEL SUR Y PEQUEÑOS PRODUCTORES LA PAMPA EN EL PUEBLO TRADICIONAL LA PAMPA, DISTRITO DE SOCABAYA - AREQUIPA - AREQUIPA",PIP MAYOR (SNIP),GL,GOBIERNOS LOCALES,MUNICIPALIDAD DISTRITAL DE SOCABAYA,OPMI DE LA MUNICIPALIDAD DISTRITAL DE SOCABAYA,UF DE LA MUNICIPALIDAD DISTRITAL DE SOCABAYA,UEI DE LA MUNICIPALIDAD DISTRITAL DE SOCABAYA,300352,MUNICIPALIDAD DISTRITAL DE SOCABAYA,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,,ACTIVO,VIABLE,2016-08-12 00:00:00,2016-08-31 00:00:00,SNIP,7679614.0,9530604.78,0.0,0.0,0.0,5126126.61,SI,0.0,5000000.0,126126.61,0.0,201804,202412,4404478.17,0.0,,0,,,SI,5525858.26,SI,Ejecución física (C),SI,SI,37.13,36.01,2024-08-07 10:06:35,2023-10-01 00:00:00,2028-02-25 00:00:00,2023-10-01 00:00:00,2028-02-25 00:00:00,NO,NO,,,AREQUIPA,AREQUIPA,SOCABAYA,040122,-16.4689321,-71.5380727,INSTALACIÓN DE LÍNEA DE CONDUCCIÓN Y EMPALME A RED EXISTENTE INSTALACIÓN DE RED DE DISTRIBUCIÓN INSTALACIÓN DE CONEXIONES DOMICILIARIAS INSTALACIÓN DE MEDIDORES DE AGUA INSTALACIÓN DE RED COLECTORA CONSTRUCCIÓN DE BUZONES INSTALACIÓN DE CONEXIONES DOMICILIARIAS CONSTRUCCIÓN DE PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES PLANTA COMPACTA QUE UTILIZA LA TECNOLOGÍA DE REACTOR BIOLOGICO DE LECHO DE MOVIMIENTO MBBR E IMPLEMENTACIÓN DE CAMPAÑA DE EDUCACIÓN SANITARIA Y CAMPAÑA DE GESTIÓN DEL RECURSO HÍDRICO,ADMINISTRACIÓN INDIRECTA - POR CONTRATA,NO,2176,2026,0.0,0.0,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO,4404478.17,46.21404697467688,2026,DESACTUALIZADO,Reporte físico desactualizado,746,9530604.78,,NO
2109468,OFICIAL_SANEAMIENTO,128732,"MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE DEL PUEBLO TRADICIONAL LOS TUNALES, DISTRITO DE TIABAYA - AREQUIPA - AREQUIPA",PIP MENOR (SNIP),GL,GOBIERNOS LOCALES,MUNICIPALIDAD DISTRITAL DE TIABAYA,OPMI DE LA MUNICIPALIDAD DISTRITAL DE TIABAYA,UF DE LA MUNICIPALIDAD DISTRITAL DE TIABAYA,UEI DE LA MUNICIPALIDAD DISTRITAL DE TIABAYA,300353,MUNICIPALIDAD DISTRITAL DE TIABAYA,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,,ACTIVO,VIABLE,2009-08-27 00:00:00,2009-11-05 00:00:00,SNIP,215804.14,215804.14,0.0,0.0,0.0,76988.41,NO,,,,,200912,202210,138815.73,0.0,,0,,,SI,215804.14,SI,Ejecución física (C),SI,SI,68.36,64.32,2026-05-27 09:46:16,2010-02-01 00:00:00,2022-12-15 00:00:00,2010-02-01 00:00:00,2022-12-15 00:00:00,NO,NO,,,AREQUIPA,AREQUIPA,TIABAYA,040123,-16.4632386,-71.6048807,DISMINUCION DE LA INCIDENCIA DE ENFERMEDADES INFECCIOSASINTESTINALES EN EL PUEBLO TARDICIONAL LOO STUNALES,,NO,263,2026,0.0,0.0,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO,138815.73,64.32486883708533,2026,ACTUALIZADO,,88,215804.14,,NO
2520205,OFICIAL_SANEAMIENTO,2520205,"MEJORAMIENTO DE LA LÍNEA DE CONDUCCIÓN TOMACA-SACRAMENTO,  DISTRITO DE URACA - PROVINCIA DE CASTILLA - DEPARTAMENTO DE AREQUIPA",PROYECTO DE INVERSION,GL,GOBIERNOS LOCALES,MUNICIPALIDAD DISTRITAL DE URACA-AREQUIPA,OPMI DE LA MUNICIPALIDAD DISTRITAL DE URACA-AREQUIPA,UF DE LA MUNICIPALIDAD DISTRITAL DE URACA-AREQUIPA,UEI DE LA MUNICIPALIDAD DISTRITAL DE URACA-AREQUIPA,300393,MUNICIPALIDAD DISTRITAL DE URACA,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,SISTEMA DE SANEAMIENTO RURAL,ACTIVO,VIABLE,2021-05-28 00:00:00,2021-05-28 00:00:00,INVIERTE,2056293.09,4047565.99,0.0,0.0,0.0,930557.61,SI,937558.0,0.0,0.0,0.0,202110,202606,3110008.38,7000.0,0.0,7000,7000.0,7000.0,SI,2779362.71,SI,Ejecución física (C),SI,SI,59.94,60.8,2026-06-04 21:28:17,2022-03-16 00:00:00,2027-02-24 00:00:00,2022-07-17 00:00:00,2023-02-27 00:00:00,NO,NO,,,AREQUIPA,CASTILLA,URACA,040413,-16.182319999999947,-72.46662999999995,ALTERNATIVA 01ADECUADA INFRAESTRUCTURA DE LINEA DE CONDUCCION DE AGUAConstruccion de infraestructura de lineas de conduccionAdecuada infraestructura de protección de reservorio de agua potableconstruccion de cerco perimetricoAdecuada planta de tratamiento de agua potableconstruccion de planta de tratamiento de agua potable,"ADMINISTRACIÓN DIRECTA,ADMINISTRACIÓN INDIRECTA - POR CONTRATA",NO,4736,2026,-16.182319999999947,-72.46662999999995,MEF_BANCO_INVERSIONES,OFICIAL_ORIGINAL,ORIGINAL_OK,3117008.38,77.00945179648572,2026,ACTUALIZADO,,80,4047565.99,,NO
2516190,OFICIAL_SANEAMIENTO,2516190,MEJORAMIENTO Y AMPLIACION ADECUADO ACCESO DE LOS POBLADORES DEL CENTRO POBLADO DE ISPACAS - PACHAISA AL SERVICIO DE ALCANTARILLADO EN CONDICIONES SALUDABLES PACHAISA DEL DISTRITO DE YANAQUIHUA - PROVINCIA DE CONDESUYOS - DEPARTAMENTO DE AREQUIPA,PROYECTO DE INVERSION,GL,GOBIERNOS LOCALES,MUNICIPALIDAD DISTRITAL DE YANAQUIHUA,OPMI DE LA MUNICIPALIDAD DISTRITAL DE YANAQUIHUA,UF DE LA MUNICIPALIDAD DISTRITAL DE YANAQUIHUA,UEI DE LA MUNICIPALIDAD DISTRITAL DE YANAQUIHUA,300422,MUNICIPALIDAD DISTRITAL DE YANAQUIHUA,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,SISTEMA DE SANEAMIENTO RURAL,ACTIVO,VIABLE,2021-04-08 00:00:00,2021-04-08 00:00:00,INVIERTE,449964.1,1056746.33,0.0,0.0,0.0,51104.51,NO,,,,,202212,202308,1005641.82,0.0,,0,,,SI,449964.1,SI,Ejecución física (C),SI,SI,80.4,80.46,2024-01-15 21:43:22,2022-01-03 00:00:00,2023-12-29 00:00:00,2022-10-14 00:00:00,2022-12-20 00:00:00,NO,NO,,,AREQUIPA,CONDESUYOS,YANAQUIHUA,040608,-15.756302605601665,-72.9215448115327,Se construirán 22 conexiones domiciliarias con tuberías de PVC UF ISO 4435 S25 para alcantarillado de 160 mm de diámetro Se construirá el sistema de desagüe del tipo convencional compuesta por colectores y emisores de tuberías de PVC UF ISO 4435 S20 de 160 mm de diámetro en 650 mlSe construirán 24 buzones de diámetro de 120 m y profundidad no mayor a 200 m  Se construirán 5 buzones de diámetro de 120 m y profundidad 200 m hasta 300m,"ADMINISTRACIÓN DIRECTA,ADMINISTRACIÓN INDIRECTA - POR CONTRATA",NO,88,2026,-15.756302605601665,-72.9215448115327,MEF_BANCO_INVERSIONES,OFICIAL_ORIGINAL,ORIGINAL_OK,1005641.82,95.16397563453094,2026,DESACTUALIZADO,Reporte físico desactualizado,951,1056746.33,,NO
2023334,HISTORICO_SALUD_Y_SANEAMIENTO,15436,AMPLIACION DEL SISTEMA DE ABASTECIMIENTO DE AGUA POTABLE EN EL DISTRITO DE YARABAMBA - AREQUIPA,PIP MAYOR (SNIP),GL,GOBIERNOS LOCALES,MUNICIPALIDAD PROVINCIAL DE AREQUIPA,OPMI DE LA MUNICIPALIDAD PROVINCIAL DE AREQUIPA,UF DE LA MUNICIPALIDAD PROVINCIAL DE AREQUIPA,UEI DE LA MUNICIPALIDAD PROVINCIAL DE AREQUIPA,300331,MUN. PRO. DE AREQUIPA,SALUD Y SANEAMIENTO,SANEAMIENTO,SANEAMIENTO GENERAL,,ACTIVO,VIABLE,2005-01-23 00:00:00,2005-12-02 00:00:00,SNIP,533955.0,420842.15,0.0,0.0,0.0,-224080.74,NO,,,,,200802,201110,644922.89,0.0,,0,,,NO,367042.15,SI,Expediente técnico (B),NO,NO,,,None,2010-10-01 00:00:00,2011-01-29 00:00:00,2010-10-01 00:00:00,2011-01-29 00:00:00,NO,SI,2019-11-27 14:48:54,Pendiente de liquidación,AREQUIPA,AREQUIPA,YARABAMBA,040127,-16.5469355,-71.4752051,Perforación de un Pozo tubular y linea de impulsión,,NO,960,2026,0.0,0.0,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO,644922.89,153.24579298912906,2026,SIN_AVANCE_FISICO,Sin avance físico registrado,,420842.15,,NO
2508678,OFICIAL_SANEAMIENTO,2508678,"CREACION DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO EN LA ASOCIACIÓN DE VIVIENDA CAPITAN FAP JOSE ABELARDO QUIÑONES II ETAPA, DEL  DISTRITO DE YURA - PROVINCIA DE AREQUIPA - DEPARTAMENTO DE AREQUIPA",PROYECTO DE INVERSION,GL,GOBIERNOS LOCALES,MUNICIPALIDAD DISTRITAL DE YURA,OPMI DE LA MUNICIPALIDAD DISTRITAL DE YURA,UF DE LA MUNICIPALIDAD DISTRITAL DE YURA,UEI DE LA MUNICIPALIDAD DISTRITAL DE YURA,300358,MUNICIPALIDAD DISTRITAL DE YURA,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,SISTEMA DE SANEAMIENTO URBANO,ACTIVO,VIABLE,2020-12-29 00:00:00,2021-03-02 00:00:00,INVIERTE,8988084.36,17437637.34,87188.19,0.0,0.0,17155125.53,SI,0.0,2400000.0,645000.0,723000.0,202112,202412,369700.0,0.0,,0,,,SI,17437637.34,SI,Ejecución física (C),SI,NO,,1.24,2026-07-09 10:14:13,2024-05-29 00:00:00,2027-06-27 00:00:00,2024-05-29 00:00:00,2027-06-27 00:00:00,NO,NO,,,AREQUIPA,AREQUIPA,YURA,040128,-16.32411215448784,-71.622789581313,Alternativa 1 COMPONENTE 1   CONEXION AL SISTEMA DE AGUA POTABLE ACCIÓN 11 Instalación de redes de distribución de agua potable en 1161416 m con un diámetro de 110mm ACCION 12 Instalación de 977 conexiones domiciliarias para uso doméstico ACCION 13 Otras acciones de infraestructura Obras provisionales y trabajos preliminares el 235 m2 Instalación de grifos contra incendios en 10 undCOMPONENTE 2  CONEXION  AL SISTEMA DE ALCANTARILLADO                                                                                                                                                                          ACCIÓN 21 Instalación de 977 redes de distribución de alcantarillado en 1191270 m con un diámetro de 200mm ACCIÓN 22 Construcción de 238 buzones de 126 a 700 m de profundidad ACCIÓN 23 Instalación de 977 conexiones domiciliarias para alcantarillado ACCION 24 Construcción de 02 pase aéreo en 190mCOMPONENTE 3  Conocimiento sobre actividades en Educación sanitaria y ambiental                                                                                                                                                                         ACCION 31 Implementación de un plan de educación sanitaria y ambiental en 40 horas,ADMINISTRACIÓN INDIRECTA - POR CONTRATA,NO,10456,2026,-16.32411215448784,-71.622789581313,MEF_BANCO_INVERSIONES,OFICIAL_ORIGINAL,ORIGINAL_OK,369700.0,2.1201266707844035,2026,SIN_AVANCE_FISICO,Sin avance físico registrado,,17437637.34,,NO
