CODIGO_UNICO,NOMBRE_INVERSION,COSTO_ACTUALIZADO,MONTO_VIABLE,PRESUPUESTO_EJECUTADO,ESTADO,PROGRAMACION_EJECUCION_0,PROGRAMACION_EJECUCION_1,PROGRAMACION_EJECUCION_2,PROGRAMACION_EJECUCION_3,INICIO_EJECUCION_STR,FIN_EJECUCION_STR,UBIGEO,AVANCE_FISICO,AVANCE_EJECUCION,ESTADO_ACTUALIZACION_FISICA,ULT_FEC_DECLA_ESTIM,ADVERTENCIA_AVANCE_FISICO,TIENE_EPS_PRESTACION,EPS_PRESTACION,TIPO_COORDENADA,TIPO_INVERSION,LATITUD,LONGITUD,UBIGEO_NORMALIZADO
2188775,"MEJORAMIENTO Y AMPLIACION DEL SISTEMA INTEGRAL DE AGUA POTABLE Y SANEAMIENTO EN LAS LOCALIDADES DE COATA, SUCASCO Y ALMOZANCHE, DISTRITO DE COATA - PUNO - PUNO",89540212,,82983203,,4050000.0,3500000.0,52392.41,0.0,01/12/2013,30/06/2028,210107,94.72,93.24,ACTUALIZADO,2026-08-13 15:35:49,,NO,SIN_EPS_IDENTIFICADA,APROXIMADA_LOCALIDAD,PIP MAYOR (SNIP),-15.5727778,-69.9227778,210107
2133298,"MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE ASILLO , DISTRITO DE ASILLO - AZANGARO - PUNO",14268975,,13528416,,690559.0,740559.49,0.0,0.0,01/02/2012,29/01/2027,210204,100.0,95.36,ACTUALIZADO,2026-06-08 10:06:02,,NO,SIN_EPS_IDENTIFICADA,APROXIMADA_DISTRITO,PIP MAYOR (SNIP),-14.7272398,-70.3567731,210204
2279319,"MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE Y SANEAMIENTO DEL CENTRO POBLADO DE CAMPAMENTO , DISTRITO DE COASA - CARABAYA - PUNO",6939550,,6767404,,0.0,172145.99,0.0,0.0,01/11/2015,31/12/2027,210304,99.8,99.03,ACTUALIZADO,2026-08-11 12:51:44,,NO,SIN_EPS_IDENTIFICADA,APROXIMADA_LOCALIDAD,PIP MAYOR (SNIP),-13.9509178,-70.0561697,210304
2297617,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS EN LA COMUNIDAD CAMPESINA DE AURINCOTA: SECTORES MULLUCHUYO - LLUMAHUI, PLATERIA - TOTOROCO, CHACAMARCA, PICHUPICHUNI, TICATANCA, DISTRITO DE HUACULLANI, PROVI",14188114,,13794354,,5000.0,37893.92,0.0,0.0,01/06/2016,12/01/2027,210403,97.61,97.61,VIGENTE_CON_RETRASO,2026-02-12 17:55:55,Reporte físico con más de 6 meses de antigüedad,NO,SIN_EPS_IDENTIFICADA,APROXIMADA_DISTRITO,PIP MAYOR (SNIP),-16.6302449,-69.3222231,210403
2189518,"MEJORAMIENTO Y AMPLIACIÓN DE LOS SERVICIOS DE AGUA POTABLE Y DISPOSICIÓN SANITARIA DE EXCRETAS DE LA COMUNIDAD CAMPESINA DE ACCOPATA, DISTRITO DE ASILLO, AZANGARO - PUNO",6941863,,6782326,,30000.0,30000.0,29537.39,0.0,01/03/2014,01/08/2028,210204,97.7,97.7,VIGENTE_CON_RETRASO,2026-02-11 11:23:24,Reporte físico con más de 6 meses de antigüedad,NO,SIN_EPS_IDENTIFICADA,APROXIMADA_DISTRITO,PIP MAYOR (SNIP),-14.7272398,-70.3567731,210204
2189457,"AMPLIACION Y MEJORAMIENTO SERVICIO DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS EN LOS SECTORES CHATUMA CUCHO, CHIARAUYO, HANCCOHUYO, SAN ISIDRO Y CAPUHUI DEL CENTRO POBLADO CHATUMA, DISTRITO POMATA - CHUCUITO - PUNO",6045639,,5808912,,5000.0,30000.0,33046.8,0.0,01/03/2014,01/08/2028,210406,97.11,97.11,VIGENTE_CON_RETRASO,2026-02-16 19:55:42,Reporte físico con más de 6 meses de antigüedad,NO,SIN_EPS_IDENTIFICADA,APROXIMADA_LOCALIDAD,PIP MAYOR (SNIP),-16.2932991,-69.2331917,210406
2186026,"INSTALACION DEL SERVICIO DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS EN LA COMUNIDAD CAMPESINA ARACACHI JAHUERJA, DISTRITO KELLUYO - CHUCUITO - PUNO",4353193,,4230291,,5000.0,30000.0,33705.56,0.0,01/03/2014,01/08/2028,210404,97.86,97.86,VIGENTE_CON_RETRASO,2026-02-16 20:06:11,Reporte físico con más de 6 meses de antigüedad,NO,SIN_EPS_IDENTIFICADA,APROXIMADA_DISTRITO,PIP MAYOR (SNIP),-16.7270638,-69.2499805,210404
2187527,"MEJORAMIENTO Y AMPLIACION DE LOS SISTEMAS DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS DE LA COMUNIDAD CAMPESINA JILA ( RETIRO, INAMPO Y CENTRAL), DISTRITO ASILLO, AZANGARO, PUNO.",5516941,,5411551,,30000.0,30000.0,25389.5,0.0,01/02/2014,01/08/2028,210204,98.09,98.09,VIGENTE_CON_RETRASO,2026-02-11 11:02:35,Reporte físico con más de 6 meses de antigüedad,NO,SIN_EPS_IDENTIFICADA,APROXIMADA_DISTRITO,PIP MAYOR (SNIP),-14.7272398,-70.3567731,210204
2307913,"AMPLIACION Y MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS DEL CENTRO POBLADO DE TUTURCUYO , DISTRITO DE SANTIAGO DE PUPUJA - AZANGARO - PUNO",8212925,,7949940,,0.0,262985.41,0.0,0.0,01/10/2016,31/12/2027,210214,100.0,99.17,ACTUALIZADO,2026-08-11 12:56:10,,NO,SIN_EPS_IDENTIFICADA,APROXIMADA_DISTRITO,PIP MAYOR (SNIP),-15.0800915,-70.2481544,210214
2189499,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS EN LAS PARCIALIDADES SAN FRANCISCO Y COLLINE DEL CENTRO POBLADO ARCONUMA, DISTRITO KELLUYO - CHUCUITO - PUNO",3007161,,2945781,,30000.0,30805.51,0.0,0.0,01/03/2014,20/01/2027,210404,97.98,97.98,VIGENTE_CON_RETRASO,2026-02-12 17:53:34,Reporte físico con más de 6 meses de antigüedad,NO,SIN_EPS_IDENTIFICADA,APROXIMADA_LOCALIDAD,PIP MAYOR (SNIP),-16.752933,-69.2802246,210404
