NIVEL,SECTOR,ENTIDAD,CODIGO_UNICO,CODIGO_SNIP,NOMBRE_INVERSION,NOMBRE_OPMI,NOMBRE_UF,NOMBRE_UEI,SEC_EJEC,NOMBRE_UEP,ESTADO,SITUACION,MONTO_VIABLE,COSTO_ACTUALIZADO,CTRL_CONCURR,MONTO_LAUDO,MONTO_FIANZA,ALTERNATIVA,FECHA_REGISTRO,FECHA_VIABILIDAD,FUNCION,PROGRAMA,SUBPROGRAMA,MARCO,TIPO_INVERSION,DES_MODALIDAD,REGISTRADO_PMI,PMI_ANIO_1,PMI_ANIO_2,PMI_ANIO_3,PMI_ANIO_4,EXPEDIENTE_TECNICO,INFORME_CIERRE,TIENE_F9,FEC_REG_F9,ETAPA_F9,PRIMER_DEVENGADO,ULTIMO_DEVENGADO,DEVEN_ACUMUL_ANIO_ANT,DEV_ANIO_ACTUAL,PIA_ANIO_ACTUAL,PIM_ANIO_ACTUAL,CERTIF_ANIO_ACTUAL,COMPROM_ANUAL_ANIO_ACTUAL,SALDO_EJECUTAR,TIENE_F8,ETAPA_F8,TIENE_F12B,TIENE_AVAN_FISICO,AVANCE_FISICO,AVANCE_EJECUCION,ULT_FEC_DECLA_ESTIM,DES_TIPOLOGIA,IND_IOARR_EMERG,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,LATITUD,LONGITUD,FEC_INI_EJECUCION,FEC_FIN_EJECUCION,FEC_INI_EJEC_FISICA,FEC_FIN_EJEC_FISICA,NUM_HABITANTES_BENEF,MONTO_ET_F8,ANIO_PROCESO
GL,GOBIERNOS LOCALES,MUNICIPALIDAD DISTRITAL DE POTONI,2710543,2710543,"CONSTRUCCION DE ALCANTARILLADO PLUVIAL EN EL(LA) CAMINO VECINAL RUTA EMP. PU 139 - PARCIALIDAD SAPAPUJIO (RIO CANGALLI)  DISTRITO DE POTONI, PROVINCIA AZANGARO, DEPARTAMENTO PUNO",OPMI DE LA MUNICIPALIDAD DISTRITAL DE POTONI,UF DE LA MUNICIPALIDAD DISTRITAL DE POTONI,UEI DE LA MUNICIPALIDAD DISTRITAL DE POTONI,301616,MUNICIPALIDAD DISTRITAL DE POTONI,ACTIVO,APROBADO,76794.12,76794.12,0.0,0.0,0.0,,2025-10-22 00:00:00,2025-10-23 00:00:00,TRANSPORTE,TRANSPORTE TERRESTRE,VÍAS VECINALES,INVIERTE,INVERSIONES IOARR,ADMINISTRACIÓN DIRECTA,NO,,,,,NO,NO,NO,,,,,0.0,0.0,,0,,,76794.12,NO,,SI,NO,,0.0,,CARRETERAS VECINALES,NO,PUNO,AZANGARO,POTONI,210209,-14.377275993372946,-70.1344990946559,2025-11-01 00:00:00,2026-01-31 00:00:00,,,,,2026
GL,GOBIERNOS LOCALES,MUNICIPALIDAD DISTRITAL DE PISACOMA,2578180,2578180,CREACION DE LOS SERVICIOS OPERATIVOS O MISIONALES INSTITUCIONALES EN EL LOCAL DE USOS MÚLTIPLES DE LA JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO (JASS) EN EL   DISTRITO DE PISACOMA DE LA PROVINCIA DE CHUCUITO DEL DEPARTAMENTO DE PUNO,OPMI DE LA MUNICIPALIDAD DISTRITAL DE PISACOMA,UF DE LA MUNICIPALIDAD DISTRITAL DE PISACOMA,UEI DE LA MUNICIPALIDAD DISTRITAL DE PISACOMA,301637,MUNICIPALIDAD DISTRITAL DE PISACOMA,ACTIVO,VIABLE,632845.24,842698.51,0.0,0.0,0.0,ACCIÓN 01 A Construcción de Infraestructura de la Junta Administradora de Servicios de Saneamiento JASS el cuál será de 03 niveles en un área de 25422 m2 1589 m de ancho X 1600 m de largo con cobertura de losa aligerada y cubierta de policarbonato de 6mm asimismo se realizará las instalaciones eléctricas e instalaciones de sistema de comunicación y red de internet  ACCIÓN 01B Construcción de Servicios Higiénicos y sistema de evacuación de agua de lluvias  ACCIÓN 02A Adquisición de 36 Mobiliarios  ACCIÓN 02B Adquisición de kit de Equipamiento,2023-03-13 00:00:00,2023-03-19 00:00:00,"PLANEAMIENTO, GESTIÓN Y RESERVA DE CONTINGENCIA",GESTIÓN,INFRAESTRUCTURA Y EQUIPAMIENTO,INVIERTE,PROYECTO DE INVERSION,ADMINISTRACIÓN DIRECTA,NO,,,,,SI,NO,NO,,,202306,202412,837866.46,0.0,,0,,,4832.05,SI,Ejecución física (C),SI,SI,100.0,99.23,2025-01-06 16:37:34,DESARROLLO INSTITUCIONAL,NO,PUNO,CHUCUITO,PISACOMA,210405,-16.908621570692052,-69.37150534560638,2023-04-01 00:00:00,2025-12-31 00:00:00,2023-08-08 00:00:00,2024-01-06 00:00:00,1350,801900.0,2026
GL,GOBIERNOS LOCALES,MUNICIPALIDAD DISTRITAL DE USICAYOS,2639519,2639519,"RENOVACION DE ALCANTARILLADO PLUVIAL EN EL(LA) JR. PROLONGACION ESQUELTIRA DISTRITO DE USICAYOS, PROVINCIA CARABAYA, DEPARTAMENTO PUNO",OPMI DE LA MUNICIPALIDAD DISTRITAL DE USICAYOS,UF DE LA MUNICIPALIDAD DISTRITAL DE USICAYOS,UEI DE LA MUNICIPALIDAD DISTRITAL DE USICAYOS,301632,MUNICIPALIDAD DISTRITAL DE USICAYOS,ACTIVO,APROBADO,106137.65,79768.28,0.0,0.0,0.0,,2024-03-14 00:00:00,2024-03-14 00:00:00,TRANSPORTE,TRANSPORTE TERRESTRE,VÍAS VECINALES,INVIERTE,INVERSIONES IOARR,ADMINISTRACIÓN DIRECTA,NO,,,,,SI,NO,SI,2024-06-05 09:18:28,Pendiente de liquidación,202404,202412,58514.31,0.0,,0,,,21253.97,SI,Ejecución física (C),SI,SI,98.33,88.04,2024-07-02 10:55:07,CARRETERAS VECINALES,NO,PUNO,CARABAYA,USICAYOS,210310,-14.127409475174598,-69.96789031006342,2024-03-01 00:00:00,2024-07-01 00:00:00,2024-05-14 00:00:00,2024-05-14 00:00:00,,8346.22,2026
GL,GOBIERNOS LOCALES,MUNICIPALIDAD DISTRITAL DE SANTA ROSA - MELGAR,2699921,2699921,"ADQUISICION DE TERRENO SANEAMIENTO TECNICO LEGAL DE TERRENO EN EL(LA) CENTRO DE PRODUCCIÓN DE REPRODUCTORES PARA VACUNOS, OVINOS Y ANIMALES MENORES  DISTRITO DE SANTA ROSA, PROVINCIA MELGAR, DEPARTAMENTO PUNO",OPMI DE LA MUNICIPALIDAD DISTRITAL DE SANTA ROSA - MELGAR,UF DE LA MUNICIPALIDAD DISTRITAL DE SANTA ROSA - MELGAR,UEI DE LA MUNICIPALIDAD DISTRITAL DE SANTA ROSA - MELGAR,301670,MUNICIPALIDAD DISTRITAL DE SANTA ROSA,ACTIVO,APROBADO,69750.0,74917.78,0.0,0.0,0.0,,2025-07-07 00:00:00,2025-07-08 00:00:00,"PLANEAMIENTO, GESTIÓN Y RESERVA DE CONTINGENCIA",CIENCIA Y TECNOLOGÍA,TRANSFERENCIA DE CONOCIMIENTOS Y TECNOLOGÍAS,INVIERTE,INVERSIONES IOARR,ADMINISTRACIÓN DIRECTA,SI,67418.0,0.0,0.0,0.0,SI,NO,NO,,,202512,202607,7500.0,61217.78,0.0,66459,61217.78,61217.78,958.78,SI,Ejecución física (C),SI,SI,100.0,96.53,2026-08-20 08:59:39,APOYO AL DESARROLLO PRODUCTIVO AGROPECUARIO,NO,PUNO,MELGAR,SANTA ROSA,210808,-14.66042539381275,-70.81399530178935,2025-10-01 00:00:00,2026-12-31 00:00:00,2025-10-01 00:00:00,2026-12-31 00:00:00,,10100.0,2026
GL,GOBIERNOS LOCALES,MUNICIPALIDAD DISTRITAL DE AJOYANI,2476085,2476085,CREACION DE DEFENSA RIBEREÑA EN EL RIO AJOYANI PARA LA PROTECCIÓN DE LA PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES (PTAR) DE LA LOCALIDAD DE AJOYANI DEL DISTRITO DE AJOYANI - PROVINCIA DE CARABAYA - DEPARTAMENTO DE PUNO,OPMI DE LA MUNICIPALIDAD DISTRITAL DE AJOYANI,UF DE LA MUNICIPALIDAD DISTRITAL DE AJOYANI,UEI DE LA MUNICIPALIDAD DISTRITAL DE AJOYANI,301624,MUNICIPALIDAD DISTRITAL DE AJOYANI,ACTIVO,VIABLE,780816.56,575401.34,0.0,0.0,0.0,LA ALTERNATIVA UNICA CONSTA EN LA CONSTRUCCIÓN DE 808 ML DE DEFENSA RIBEREÑA EN AMBOS MARGENES DEL RIO AJOYANI PARA DISMINUIR POSIBLES RIESGOS DE INUNDACIONES SE PROYECTA LA CONSTRUCCION DEL DEFENSA RIBEREÑA CON UNA DISTANCIA DE 400 Y 408 METROS LINEALES EN AMBOS MARGENES DEL RIO Y EL ANCHO DE RIO CORRIENTE ES DE 600 M Y LA SUPERESTRUCTURA ANCHO ES 2 M ASI MISMO CONSIDERAMOS MEJORAMIENTO DE ACCESOS EN AMBOS MARGENES LA DEFENSA RIBEREÑA TIENE UN ANCHO DE 2 M QUE VIENE A SER EL ANCHO EN LA PARTE INFERIOR LATERALMENTE SE ADOSARA EN FORMA DE MURO DE CONTENCION EN CAPAS DE 3 Y LAS 2 ÚLTIMAS CAPAS DE DEFENSA SU ANCHO SERAN DE 1M,2020-01-10 00:00:00,2020-01-16 00:00:00,ORDEN PÚBLICO Y SEGURIDAD,GESTIÓN DE RIESGOS Y EMERGENCIAS,PREVENCIÓN DE DESASTRES,INVIERTE,PROYECTO DE INVERSION,ADMINISTRACIÓN DIRECTA,NO,,,,,SI,NO,NO,,,,,0.0,0.0,,0,,,575401.34,SI,Expediente técnico (B),NO,NO,,0.0,,DEFENSAS RIBEREÑAS,NO,PUNO,CARABAYA,AJOYANI,210302,-14.237557177662415,-70.23274003577994,2020-02-20 00:00:00,2020-09-07 00:00:00,2020-02-20 00:00:00,2020-09-07 00:00:00,1569,575401.34,2026
GL,GOBIERNOS LOCALES,MUNICIPALIDAD DISTRITAL DE MUÑANI,2730779,2730779,"CONSTRUCCION DE ALCANTARILLADO PLUVIAL EN EL(LA) CAMINO VECINAL TRAMO: EMP PU -111 (VILUYO) - CHURUNI - TOTURTIRA, (ALCANTARILLA VIAL) EN EL SECTOR JAPUPUNCU CHURUNI DE LA COMUNIDAD DE HUASACONA DEL  DISTRITO DE MUÑANI, PROVINCIA AZANGARO, DEPARTAMENTO PUNO",OPMI DE LA MUNICIPALIDAD DISTRITAL DE MUÑANI,UF DE LA MUNICIPALIDAD DISTRITAL DE MUÑANI,UEI DE LA MUNICIPALIDAD DISTRITAL DE MUÑANI,301615,MUNICIPALIDAD DISTRITAL DE MUÑANI,ACTIVO,APROBADO,84103.33,84103.33,0.0,0.0,0.0,,2026-05-20 00:00:00,2026-05-27 00:00:00,TRANSPORTE,TRANSPORTE TERRESTRE,VÍAS VECINALES,INVIERTE,INVERSIONES IOARR,ADMINISTRACIÓN DIRECTA,NO,,,,,NO,NO,NO,,,,,0.0,0.0,,0,,,84103.33,NO,,NO,NO,,,,CARRETERAS VECINALES,NO,PUNO,AZANGARO,MUÑANI,210208,-14.719229277614847,-69.89926607894913,2026-06-01 00:00:00,2026-10-31 00:00:00,,,,,2026
GL,GOBIERNOS LOCALES,MUNICIPALIDAD DISTRITAL DE TILALI,2146622,187377,"MEJORAMIENTO DE MURO PERIMETRICO DEL LOCAL DE AGUA POTABLE DE LA PARCIALIDAD DE PATASCACHI, DISTRITO DE TILALI - MOHO - PUNO",OPMI DE LA MUNICIPALIDAD DISTRITAL DE TILALI,UF DE LA MUNICIPALIDAD DISTRITAL DE TILALI,UEI DE LA MUNICIPALIDAD DISTRITAL DE TILALI,301675,MUNICIPALIDAD DISTRITAL DE TILALI,ACTIVO,VIABLE,40939.0,40939.0,0.0,0.0,0.0,MEJORAMIENTO DEL MURO PERIMETRICO DEL LOCAL DE AGUA POTABLE DE LA PARCIALIDAD DE PATASCACHI,2011-08-30 00:00:00,2011-09-21 00:00:00,VIVIENDA Y DESARROLLO URBANO,DESARROLLO URBANO Y RURAL,PLANEAMIENTO Y DESARROLLO URBANO Y RURAL,SNIP,PIP MENOR (SNIP),ADMINISTRACIÓN DIRECTA,NO,,,,,NO,NO,SI,2019-11-29 20:33:44,Pendiente de liquidación,201103,201112,72657.4,0.0,,0,,,-31718.4,SI,Aprobación de consistencia o modificaciones antes de la aprobación del ET o ET (A),NO,NO,,,,,NO,PUNO,MOHO,TILALI,210904,0.0,0.0,,,,,520,0.0,2026
GL,GOBIERNOS LOCALES,MUNICIPALIDAD PROVINCIAL DE EL COLLAO,2595127,2595127,"REPARACION DE AMBIENTE DE BIENESTAR Y APOYO UNIVERSITARIO CONSTRUCCION DE SISTEMA DE ABASTECIMIENTO DE AGUA POTABLE ADQUISICION DE SISTEMA DE GENERACION DE ENERGIA ELECTRICA EN EL(LA) COMUNIDAD CAMPESINA DE ANCASAYA DEL  DISTRITO DE ILAVE, PROVINCIA EL COLLAO, DEPARTAMENTO PUNO",OPMI DE LA MUNICIPALIDAD PROVINCIAL DE EL COLLAO,UF DE LA MUNICIPALIDAD PROVINCIAL DE EL COLLAO,UEI DE LA MUNICIPALIDAD PROVINCIAL DE EL COLLAO,301640,MUNICIPALIDAD PROVINCIAL EL COLLAO - ILAVE,ACTIVO,APROBADO,410598.02,1032452.44,0.0,0.0,0.0,,2023-05-22 00:00:00,2023-05-23 00:00:00,"PLANEAMIENTO, GESTIÓN Y RESERVA DE CONTINGENCIA",GESTIÓN,INFRAESTRUCTURA Y EQUIPAMIENTO,INVIERTE,INVERSIONES IOARR,ADMINISTRACIÓN DIRECTA,NO,,,,,SI,NO,NO,,,202312,202511,1028340.06,0.0,,0,,,4112.38,SI,Ejecución física (C),SI,SI,100.0,98.77,2026-01-07 15:16:21,DESARROLLO INSTITUCIONAL,NO,PUNO,EL COLLAO,ILAVE,210501,-16.094937280372864,-69.61489769876546,2023-08-14 00:00:00,2025-12-31 00:00:00,2023-12-11 00:00:00,2024-07-21 00:00:00,,31887.67,2026
GL,GOBIERNOS LOCALES,MUNICIPALIDAD DISTRITAL DE SAN ANTON,2683740,2683740,"ADQUISICION DE TERRENO SANEAMIENTO TECNICO LEGAL DE TERRENO EN EL(LA) SAN ANTON  DISTRITO DE SAN ANTON, PROVINCIA AZANGARO, DEPARTAMENTO PUNO",OPMI DE LA MUNICIPALIDAD DISTRITAL DE SAN ANTON,UF DE LA MUNICIPALIDAD DISTRITAL DE SAN ANTON,UEI DE LA MUNICIPALIDAD DISTRITAL DE SAN ANTON,301618,MUNICIPALIDAD DISTRITAL DE SAN ANTON,ACTIVO,APROBADO,163000.0,163000.0,0.0,0.0,0.0,,2025-02-24 00:00:00,2025-02-25 00:00:00,SALUD,SALUD INDIVIDUAL,ATENCIÓN MÉDICA BÁSICA,INVIERTE,INVERSIONES IOARR,ADMINISTRACIÓN DIRECTA,NO,,,,,NO,NO,NO,,,202506,202506,150000.0,0.0,,0,,,13000.0,SI,Expediente técnico (B),SI,SI,94.94,92.02,2025-07-31 11:13:17,ESTABLECIMIENTOS DE SALUD DEL PRIMER NIVEL DE ATENCIÓN,NO,PUNO,AZANGARO,SAN ANTON,210211,-14.592719010541563,-70.31339521495688,2025-03-03 00:00:00,2025-12-31 00:00:00,2025-03-03 00:00:00,2025-12-31 00:00:00,,5000.0,2026
GL,GOBIERNOS LOCALES,MUNICIPALIDAD DISTRITAL DE DESAGUADERO,2579066,2579066,"RENOVACION DE SUMINISTRO DE ENERGIA ELECTRICA, SISTEMA DE ABASTECIMIENTO DE AGUA POTABLE, AREA VERDE Y VEREDA EN EL(LA) PLAZA DOS DE MAYO DEL  DISTRITO DE DESAGUADERO, PROVINCIA CHUCUITO, DEPARTAMENTO PUNO",OPMI DE LA MUNICIPALIDAD DISTRITAL DE DESAGUADERO,UF DE LA MUNICIPALIDAD DISTRITAL DE DESAGUADERO,UEI DE LA MUNICIPALIDAD DISTRITAL DE DESAGUADERO,301634,MUNICIPALIDAD DISTRITAL DE DESAGUADERO,ACTIVO,APROBADO,314546.46,327495.16,0.0,0.0,0.0,,2023-03-16 00:00:00,2023-03-18 00:00:00,VIVIENDA Y DESARROLLO URBANO,DESARROLLO URBANO Y RURAL,PLANEAMIENTO Y DESARROLLO URBANO Y RURAL,INVIERTE,INVERSIONES IOARR,"ADMINISTRACIÓN INDIRECTA - POR CONTRATA,ADMINISTRACIÓN DIRECTA",NO,,,,,SI,NO,NO,,,202304,202504,290276.83,0.0,,0,,,37218.33,SI,Ejecución física (C),SI,SI,100.0,98.63,2024-01-09 11:25:25,ESPACIOS PÚBLICOS PARA EL ESPARCIMIENTO Y RECREACIÓN,NO,PUNO,CHUCUITO,DESAGUADERO,210402,-16.56484000255254,-69.04026014715079,2023-03-01 00:00:00,2025-05-30 00:00:00,2023-04-13 00:00:00,2023-06-11 00:00:00,,20975.0,2026
