NIVEL,SECTOR,ENTIDAD,CODIGO_UNICO,CODIGO_SNIP,NOMBRE_INVERSION,NOMBRE_OPMI,NOMBRE_UF,NOMBRE_UEI,SEC_EJEC,NOMBRE_UEP,ESTADO,SITUACION,MONTO_VIABLE,COSTO_ACTUALIZADO,CTRL_CONCURR,MONTO_LAUDO,MONTO_FIANZA,ALTERNATIVA,FECHA_REGISTRO,FECHA_VIABILIDAD,FUNCION,PROGRAMA,SUBPROGRAMA,MARCO,TIPO_INVERSION,DES_MODALIDAD,REGISTRADO_PMI,PMI_ANIO_1,PMI_ANIO_2,PMI_ANIO_3,PMI_ANIO_4,EXPEDIENTE_TECNICO,INFORME_CIERRE,TIENE_F9,FEC_REG_F9,ETAPA_F9,PRIMER_DEVENGADO,ULTIMO_DEVENGADO,DEVEN_ACUMUL_ANIO_ANT,DEV_ANIO_ACTUAL,PIA_ANIO_ACTUAL,PIM_ANIO_ACTUAL,CERTIF_ANIO_ACTUAL,COMPROM_ANUAL_ANIO_ACTUAL,SALDO_EJECUTAR,TIENE_F8,ETAPA_F8,TIENE_F12B,TIENE_AVAN_FISICO,AVANCE_FISICO,AVANCE_EJECUCION,ULT_FEC_DECLA_ESTIM,DES_TIPOLOGIA,IND_IOARR_EMERG,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,LATITUD,LONGITUD,FEC_INI_EJECUCION,FEC_FIN_EJECUCION,FEC_INI_EJEC_FISICA,FEC_FIN_EJEC_FISICA,NUM_HABITANTES_BENEF,MONTO_ET_F8,ANIO_PROCESO
GL,GOBIERNOS LOCALES,MUNICIPALIDAD DISTRITAL DE SAN ANTON,2478735,2478735,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS DE LA COMUNIDAD CAMPESINA LACAYPARQUE,  DISTRITO DE SAN ANTON - PROVINCIA DE AZANGARO - DEPARTAMENTO DE PUNO",OPMI DE LA MUNICIPALIDAD DISTRITAL DE SAN ANTON,UF DE LA MUNICIPALIDAD DISTRITAL DE SAN ANTON,UEI DE LA MUNICIPALIDAD DISTRITAL DE SAN ANTON,301618,MUNICIPALIDAD DISTRITAL DE SAN ANTON,ACTIVO,VIABLE,3879694.74,3236473.67,0.0,0.0,0.0,COMPONENTE N 01 SISTEMA DE AGUA POTABLE N 01 CONSISTE EN CAPTACION TIPO LADERA Y CERCO DE PROTECCION EN 2214 con CONCRETO SIMPLE EN SOLADO E4 Fc100 kgcm2 incluye obras preliminares movimiento de tierras LINEA DE CONDUCCION EN 106772 REFINE Y NIVELACION DE ZANJA CAMA DE APOYO PTUBERIA h010m RELLENO COMPACTADO CON MATERIAL CLASIFICADO 050X020M  reservorio de 5m3 CONCRETO FC  100 KGCM2 LINEA DE ADUCCION Y DISTRIBUCION EN 1024842 M SUMINISTRO E INST TUBERIA NTP 3990022015 C10 D1SUMINISTRO E INST TUBERIA NTP 3990022015 C10 D1 12 SUMINISTRO E INST TUBERIA NTP 3990022015 C10 D34 Y 224 CONEXIONES DOMICILIARIAS y lavatorios componente n 03 unidades basicas de sanemiento a 224 viviendas componente n 03 educacion sanitaria,2020-01-23 00:00:00,2020-01-23 00:00:00,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,INVIERTE,PROYECTO DE INVERSION,ADMINISTRACIÓN INDIRECTA - POR CONTRATA,SI,2712821.0,0.0,0.0,0.0,SI,NO,NO,,,202208,202603,523653.1,696980.0,696980.0,696980,696980.0,696980.0,2015840.57,SI,Ejecución física (C),SI,SI,21.81,22.82,2026-08-14 15:36:30,SISTEMA DE SANEAMIENTO RURAL,NO,PUNO,AZANGARO,SAN ANTON,210211,-14.590408515053445,-70.31346875207825,2025-12-01 00:00:00,2026-10-31 00:00:00,2025-12-01 00:00:00,2026-05-29 00:00:00,224,3323481.52,2026
GL,GOBIERNOS LOCALES,MUNICIPALIDAD DISTRITAL DE SANTIAGO DE PUPUJA,2285079,327291,"INSTALACION SISTEMA DE AGUA POTABLE Y DISPOSICION DE EXCRETAS EN LAS COMUNIDADES DE TORKOPI PAMPA, LLALLAHUA, CCAPAJON Y TULANI KETEKETE, DISTRITO DE SANTIAGO DE PUPUJA - AZANGARO - PUNO",OPMI DE LA MUNICIPALIDAD DISTRITAL DE SANTIAGO DE PUPUJA,UF DE LA MUNICIPALIDAD DISTRITAL DE SANTIAGO DE PUPUJA,UEI DE LA MUNICIPALIDAD DISTRITAL DE SANTIAGO DE PUPUJA,301621,MUNICIPALIDAD DISTRITAL DE SANTIAGO DE PUPUJA,ACTIVO,VIABLE,5768296.0,7581414.83,0.0,0.0,0.0,COMPONENTE 1Existencia de infraestructura del sistema de agua potable Acción Construcción sistema de  agua potable por gravedad  COMPONENTE 2 Existencia de un sistema de evacuación de aguas servidas y excretas Acción Instalación de  servicios higiénicos con arrastre hidráulico  COMPONENTE 3 Adecuado nivel de educación sanitaria y ambiental de la población Acción Programas de  capacitación sanitaria y ambiental sobre adecuadas prácticas de higiene Conformación organización y  capacitación de las JASS  COMPONENTE 4 Mitigación de impacto ambiental  MIA,2015-07-09 00:00:00,2015-07-17 00:00:00,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,SNIP,PIP MAYOR (SNIP),ADMINISTRACIÓN INDIRECTA - POR CONTRATA,NO,,,,,SI,NO,NO,,,201711,202112,7521447.41,0.0,,0,,,59967.42,SI,Ejecución física (C),SI,SI,99.96,98.64,2021-04-15 00:25:06,,NO,PUNO,AZANGARO,SANTIAGO DE PUPUJA,210214,0.0,0.0,2018-12-15 00:00:00,2020-12-18 00:00:00,2019-11-06 00:00:00,2021-02-07 00:00:00,1935,7981535.05,2026
GL,GOBIERNOS LOCALES,MUNICIPALIDAD DISTRITAL DE SANTIAGO DE PUPUJA,2577901,2577901,"CREACION DEL SISTEMA DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS EN LAS COMUNIDADES DE SAYTOCOCHA, TULANI CCAPAJON, VAREJON, CHAQUI IQUILO Y LAS PARCIALIDADES DE TULANI KETEKETE, IQUILO VAREJON Y CHICCHIPANI 7 LOCALIDADES DEL DISTRITO DE SANTIAGO DE PUPUJA - PROVINCIA DE AZANGARO - DEPARTAMENTO DE PUNO",OPMI DE LA MUNICIPALIDAD DISTRITAL DE SANTIAGO DE PUPUJA,UF DE LA MUNICIPALIDAD DISTRITAL DE SANTIAGO DE PUPUJA,UEI DE LA MUNICIPALIDAD DISTRITAL DE SANTIAGO DE PUPUJA,301621,MUNICIPALIDAD DISTRITAL DE SANTIAGO DE PUPUJA,ACTIVO,VIABLE,15294884.62,17218599.59,321344.76,0.0,0.0,Construcción de 01 sistema de servicio de agua potable por bombeo para abastecimiento de agua potable en las localidades rurales de Saytococha Tulani Ccapajon Varejon Tulani Ketekete Iquilo HUarejon y Chijchipani construcción de 01 PTAP reservorio 01 unidad con capacidad de 50 M3 con instalación de líneas de impulsión en una longitud de 37677 ml redes de distribución en una longitud de 9666894 ml y 525 conexiones domiciliarias de agua instalación de UBS tipo baño de arrastre hidráulico con biodigestor con muro caravista 1 cara de ladrillo KK 10 X 14 X 24 mecanizada de arcilla de soga en 525 viviendas rurales realizando talleres de adecuados hábitos y prácticas de higiene y educación sanitaria  y capacitar a la unidad de gestión a cargo de la operación y mantenimiento de los servicios básico JASS,2023-03-10 00:00:00,2023-03-23 00:00:00,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,INVIERTE,PROYECTO DE INVERSION,ADMINISTRACIÓN INDIRECTA - POR CONTRATA,SI,0.0,400000.0,1000000.0,8500000.0,SI,NO,NO,,,202310,202407,139200.0,0.0,,0,,,17400744.35,SI,Ejecución física (C),SI,SI,102.0,101.87,2026-02-25 21:41:34,SISTEMA DE SANEAMIENTO RURAL,NO,PUNO,AZANGARO,SANTIAGO DE PUPUJA,210214,-15.118350232097072,-70.27471936877333,2023-09-13 00:00:00,2030-12-31 00:00:00,2023-09-13 00:00:00,2030-12-31 00:00:00,2491,17218599.59,2026
GL,GOBIERNOS LOCALES,MUNICIPALIDAD DISTRITAL DE TARACO,2192372,281207,"INSTALACION DE LOS SERVICIOS DE AGUA POTABLE Y DISPOSICIÓN SANITARIA DE EXCRETAS EN TERCER SECTOR DE LA COMUNIDAD CAMPESINA DE COLLANA (PUMAMAÑA Y PANCHOMACHA), DISTRITO DE TARACO - HUANCANE - PUNO",OPMI DE LA MUNICIPALIDAD DISTRITAL DE TARACO,UF DE LA MUNICIPALIDAD DISTRITAL DE TARACO,UEI DE LA MUNICIPALIDAD DISTRITAL DE TARACO,301651,MUNICIPALIDAD DISTRITAL DE TARACO,ACTIVO,VIABLE,1051108.95,1146081.24,0.0,0.0,0.0,INSTALACIÓN DEL SERVICIO DE AGUA POTABLE POR BOMBEO INSTALACIÓN DE LETRINAS SANITARIAS CON ARRASTRE HIDRÁULICO INCLUYE DUCHA REALIZAR CURSOS DE CAPACITACIÓN EN EDUCACIÓN SANITARIA Y PARA OPERACIÓN Y MANTENIMIENTO REALIZAR MITIGACIÓN AMBIENTAL DURANTE LA OPERACIÓN Y MANTENIMIENTO TRATAMIENTO DE RESIDUOS SÓLIDOS,2013-11-30 00:00:00,2013-12-05 00:00:00,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,SNIP,PIP MENOR (SNIP),ADMINISTRACIÓN DIRECTA,SI,0.0,40.0,6.35,0.0,SI,NO,SI,2020-12-30 15:52:45,Pendiente de liquidación,201610,202112,1112834.89,0.0,,0,,,33246.35,SI,Ejecución física (C),SI,SI,100.0,97.1,2026-02-23 14:40:01,,NO,PUNO,HUANCANE,TARACO,210607,0.0,0.0,2020-01-02 00:00:00,2028-12-29 00:00:00,2016-10-03 00:00:00,2017-01-31 00:00:00,692,1146590.78,2026
GL,GOBIERNOS LOCALES,MUNICIPALIDAD DISTRITAL DE TINICACHI,2421701,2421701,"REPARACIÓN DE ALCANTARILLA EN EL(LA) COMPLEJO DEPORTIVO CENTRAL SIHUALAYA  DISTRITO DE TINICACHI, PROVINCIA YUNGUYO, DEPARTAMENTO PUNO",OPMI DE LA MUNICIPALIDAD DISTRITAL DE TINICACHI,UF DE LA MUNICIPALIDAD DISTRITAL DE TINICACHI,UEI DE LA MUNICIPALIDAD DISTRITAL DE TINICACHI,301699,MUNICIPALIDAD DISTRITAL DE TINICACHI,ACTIVO,APROBADO,14606.67,14606.67,0.0,0.0,0.0,,2018-04-24 00:00:00,2018-08-03 00:00:00,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,INVIERTE,INVERSIONES IOARR,ADMINISTRACIÓN DIRECTA,NO,,,,,SI,NO,NO,,,,,0.0,0.0,,0,,,14606.67,SI,Ejecución física (C),NO,NO,,,,SISTEMA DE SANEAMIENTO RURAL,SI,PUNO,YUNGUYO,TINICACHI,211306,-16.1982288,-68.96395,2018-08-01 00:00:00,2018-08-30 00:00:00,2018-08-01 00:00:00,2018-08-30 00:00:00,,14606.67,2026
GL,GOBIERNOS LOCALES,MUNICIPALIDAD DISTRITAL DE TILALI,2226138,248017,"MEJORAMIENTO Y AMPLIACIÓN DEL SERVICIO DE ABASTECIMIENTO DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS EN EL CENTRO POBLADO DE HILATA Y SECTORES DE PATASCACHI, CARCA CUCHO, HUERTA CUYO, CURASIA Y TITILE, DISTRITO DE TILALI - MOHO - PUNO",OPMI DE LA MUNICIPALIDAD DISTRITAL DE TILALI,UF DE LA MUNICIPALIDAD DISTRITAL DE TILALI,UEI DE LA MUNICIPALIDAD DISTRITAL DE TILALI,301675,MUNICIPALIDAD DISTRITAL DE TILALI,ACTIVO,VIABLE,4213276.0,4109586.66,0.0,0.0,0.0,MEJORAMIENTO Y AMPLIACIÓN DEL SISTEMA DE AGUA POTABLE POR GRAVEDAD PATASCACHI QUE COMPRENDE LÍNEAS DE CONDUCCIÓN RESERVORIOS CON  SISTEMA DE CLORACIÓN DE AGUA Y SU CASETA DE VÁLVULAS VÁLVULAS DE CONTROL VÁLVULAS DE PURGA VÁLVULA DE AIRE CRUCE EN RIACHUELOS CAMARA DE ROMPE PRESIÓN RED DE DISTRIBUCIÓN  INSTALACIÓN DE CONEXIONES DOMICILIARIAS Y PILETAS TIPO BATEAS  INSTALACIÓN DE UNIDADES DE BÁSICAS DE SANEAMIENTO UBS TIPO BAÑOS DE ARRASTRE HIDRÁULICO CON BIODIGESTOR QUE COMPRENDE INODORO TANQUE BAJO LAVA MANOS UNA DUCHA MURO DE LADRILLO MECANIZADO CARAVISTA VENTANA METALICA CON VIDRIO PUERTA DE MADERA CON TABLERO REBAJADO COBERTURA CALAMINA GALVANIZADA  Y PINTADA TIPO TEJA ANDINA Y SISTEMA DE DESAGÜE CON BIODIGESTOR DE 700 LITROS CÁMARA DE LODOS Y POZO DE ABSORCIÓN Y TAMBIÉN SE CONTEMPLA LAS CAMPAÑAS DE EDUCACIÓN SANITARIA QUE CONSISTIRÁN EN LAS DIVERSAS ACCIONES DE PROMOCIÓN CAPACITACIÓN Y EDUCACIÓN SANITARIA,2013-01-14 00:00:00,2016-06-16 00:00:00,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,SNIP,PIP MAYOR (SNIP),ADMINISTRACIÓN INDIRECTA - POR CONTRATA,NO,,,,,SI,NO,SI,2023-01-20 07:05:43,Pendiente de liquidación,202012,202210,3882240.07,0.0,,0,,,227346.59,SI,Ejecución física (C),SI,SI,95.46,95.68,2022-01-31 12:55:19,,NO,PUNO,MOHO,TILALI,210904,0.0,0.0,2020-08-06 00:00:00,2023-01-30 00:00:00,2020-12-21 00:00:00,2021-10-30 00:00:00,683,4237916.57,2026
GL,GOBIERNOS LOCALES,MUNICIPALIDAD DISTRITAL DE VILQUECHICO,2200478,272455,"INSTALACION DE SERVICIOS BASICOS DE AGUA POTABLE Y LETRINAS ECOLOGICAS EN LA C.C. DE YAPUTIRA, SECTORES, PAJCHANI, HUARACUYO, SUCASUCANI, MICAYANI, HUICHOCOLLO, Y C.P. DE MACHACAMARCA, DISTRITO DE VILQUE CHICO - HUANCANE - PUNO",OPMI DE LA MUNICIPALIDAD DISTRITAL DE VILQUECHICO,UF DE LA MUNICIPALIDAD DISTRITAL DE VILQUECHICO,UEI DE LA MUNICIPALIDAD DISTRITAL DE VILQUECHICO,301652,MUNICIPALIDAD DISTRITAL DE VILQUE CHICO,ACTIVO,VIABLE,1960653.0,5776061.0,0.0,0.0,0.0,INSTALACION DEL SISTEMA DE AGUA POTABLE INSTALACION DE LETRINAS CON ARRASTRE HIDRAHULICO CON MUROS DE BLOQUETA  Y TECHO DE CALAMINA GALVANIZADA EN LA CC DE YAPUTIRASECTORES PAJCHANI HUARACUYO SUCASUCANI MICAYANI HUICHOCOLLO Y CP DE MACHACAMARCA  Y CAPACITACION  EN EDUCACION SANITARIA  A LA POBLACION BENEFICIARIA,2013-09-04 00:00:00,2013-09-17 00:00:00,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,SNIP,PIP MAYOR (SNIP),ADMINISTRACIÓN DIRECTA,NO,,,,,SI,NO,NO,,,201410,202112,5474840.36,0.0,,0,,,301220.64,SI,Ejecución física (C),SI,SI,10.48,11.45,2021-04-14 16:32:20,,NO,PUNO,HUANCANE,VILQUE CHICO,210608,0.0,0.0,2020-10-28 00:00:00,2022-02-28 00:00:00,2020-01-02 00:00:00,2022-04-30 00:00:00,792,5612073.17,2026
GL,GOBIERNOS LOCALES,MUNICIPALIDAD PROVINCIAL DE EL COLLAO,2113918,150841,"INSTALACION DEL SISTEMA DE AGUA POTABLE Y LETRINAS SANITARIAS EN EL CENTRO POBLADO DE CANGALLI DEL DISTRITO DE ILAVE, PROVINCIA DE EL COLLAO - PUNO",OPMI DE LA MUNICIPALIDAD PROVINCIAL DE EL COLLAO,UF DE LA MUNICIPALIDAD PROVINCIAL DE EL COLLAO,UEI DE LA MUNICIPALIDAD PROVINCIAL DE EL COLLAO,301640,MUNICIPALIDAD PROVINCIAL EL COLLAO - ILAVE,ACTIVO,VIABLE,609394.88,587710.57,0.0,0.0,0.0,INSTALACIÓN DEL SISTEMA DE AGUA POTABLE MEDIANTE CAPTACIÓN DE LADERA OJO DE AGUA 02 CAJAS DE CAPTACIÓN DE MANANTIAL DE LADERA 01 CAJA DE REUNIÓN 3735 ML LÍNEA DE CONDUCCIÓN 03 CÁMARAS ROMPE PRESIÓN 01 RESERVORIO DE 20 M3 13575 ML RED DE DISTRIBUCIÓN 01 CASETA DE VÁLVULA 10 CAJAS DE VÁLVULAS DE CONTROL 10 VÁLVULAS DE PURGA 152 PILETAS PÚBLICAS 152 CONEXIONES PREDOMICILIARIAS INSTALACIÓN DE 152 LETRINAS SANITARIAS TIPO HOYO SECO CON CALAMINA GALVANIZADA 04 CURSOS DE CAPACITACIÓN EN EDUCACIÓN SANITARIA,2010-04-22 00:00:00,2010-04-27 00:00:00,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,SNIP,PIP MENOR (SNIP),,NO,,,,,SI,NO,SI,2019-11-27 18:12:18,Pendiente de liquidación,201008,201412,577686.75,0.0,,0,,,10023.82,SI,Aprobación de consistencia o modificaciones antes de la aprobación del ET o ET (A),NO,NO,,,,,NO,PUNO,EL COLLAO,ILAVE,210501,0.0,0.0,,,,,666,587710.57,2026
GL,GOBIERNOS LOCALES,MUNICIPALIDAD PROVINCIAL DE HUANCANE,2128422,7565,MEJORAMIENTO Y AMPLIACION DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE HUANCANE,OPMI DE LA MUNICIPALIDAD PROVINCIAL DE HUANCANE,UF DE LA MUNICIPALIDAD PROVINCIAL DE HUANCANE,UEI DE LA MUNICIPALIDAD PROVINCIAL DE HUANCANE,301645,MUNICIPALIDAD PROVINCIAL DE HUANCANE,ACTIVO,VIABLE,14249961.0,63748154.9,1007107.22,7755.95,0.0,AGUA POTABLE ALTERNATIVA UNICA CONSTRUCCIÓN DE CERCOS PERIMÉTRICOS TRATAMIENTO DE FISURAS Y LA REPARACIÓN DE LA CARPINTERÍA METÁLICA DE LA CAPTACION CAMBIO DE LA LÍNEA DE CONDUCCIÓN CÁMARAS DE PASO Y ESTACIÓN DE BOMBEO LAS CISTERNAS EXISTENTES DE 210 Y 430M3 RESPECTIVAMENTE Y DE LA CASETA DE BOMBEO EXISTENTE  CAMBIO DE LA LÍNEA DE IMPULSIÓN CAMBIO DE LÍNEA DE CONDUCCIÓN RESERVORIO  NUEVO DE  POKOPAKA DE 600 M3 LÍNEA DE ADUCCIÓN DEL RESERVORIO DE POKOPAKA A RED DE DISTRIBUCIÓN LÍNEA DE CONDUCCIÓN ENTRE EL RESERVORIO DE POKOPAKA Y SANTA BÁRBARAEL ACTUAL RESERVORIO POR LAS CONDICIONES EN QUE SE ENCUENTRA SE HA CONSIDERADO EL MEJORAMIENTO Y REHABILITACIÓN DE LAS ESTRUCTURAS Y CAMBIO DE VÁLVULAS EXISTENTES AMPLIACIÓN Y CAMBIO DE  REDES PRIMARIAS DE AGUA POTABLE SE REALIZARÁ EL TENDIDO DE353592 M DE TUBERÍA PVC PN 10 DN  110 MM527 M DE TUBERÍA PVC PN 10 DN  160 MMAMPLIACIÓN DE REDES SECUNDARIAS DE AGUA POTABLE SE REALIZARA EL TENDIDO DE4400M DE TUBERÍA PVC PN 10 DN  63 MM448755M DE TUBERÍA PVC PN 10 DN  90 MMCONEXIONES DOMICILIARIAS SE INSTALARAN 77 SE INSTALARAN 239 MEDIDORES A LAS CONEXIONES ANTIGUAS  Y 77 A LAS NUEVAS HACIENDO UN TOTAL DE 316 MEDIDORES A INSTALARALCANTARIILADO ALTERNATIVA UNICAAMPLIACIÓN DE COLECTORES SECUNDARIOS TENDIDO DE 5612 M DE TUBERÍA DE DN 200MM DE  PVCUF CONSTRUCCIÓN DE 101 BUZONES DE INSPECCIÓN  CAMBIO DE COLECTORES  PRIMARIOS TENDIDO DE 323963 M DE TUBERÍA DE DN 250 MM DE  PVCUF TENDIDO DE 736 M DE TUBERÍA DE DN 300 MM DE  PVCUFCONSTRUCCIÓN DE 84 BUZONES DE INSPECCIÓN  EL EMISOR DE 3835 M DE TUBERÍA DE DN 350 MM DE  PVCUF Y CONSTRUCCIÓN DE 5 BUZONES DE INSPECCIÓNCONEXIONES DOMICILIARIAS115 NUEVAS CONEXIONES A INSTALAR 429 CONEXIONES A REINSTALARALTERNATIVA DE TRATAMIENTO DE AGUAS RESIDUALESSE A CONSIDERADO LA CONSTRUCCIÓN DE UNA PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES MEDIANTE LAGUNAS DE ESTABILIZACIÓN FACULTATIVA 3 PRIMARIAS Y 3 SECUNDARIAS,2003-10-31 00:00:00,2010-02-26 00:00:00,SALUD Y SANEAMIENTO,SANEAMIENTO,SANEAMIENTO GENERAL,SNIP,PIP MAYOR (SNIP),,SI,14990261.0,0.0,0.0,0.0,SI,NO,NO,,,201112,202608,48759282.55,857823.86,0.0,5297264,811522.28,811522.28,10698715.57,SI,Ejecución física (C),SI,SI,56.65,57.49,2026-08-19 10:28:35,,NO,PUNO,HUANCANE,HUANCANE,210601,0.0,0.0,2012-07-16 00:00:00,2027-03-06 00:00:00,2023-04-12 00:00:00,2026-08-31 00:00:00,11120,61107201.92,2026
GL,GOBIERNOS LOCALES,MUNICIPALIDAD PROVINCIAL DE MOHO,2239798,274318,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO BASICO INTEGRAL EN LAS PARCIALIDADES DE HUANCACUCHO Y TINTILIZA DEL C.P. OCCOPAMPA, DISTRITO DE MOHO, PROVINCIA DE MOHO - PUNO",OPMI DE LA MUNICIPALIDAD PROVINCIAL DE MOHO,UF DE LA MUNICIPALIDAD PROVINCIAL DE MOHO,UEI DE LA MUNICIPALIDAD PROVINCIAL DE MOHO,301672,MUNICIPALIDAD PROVINCIAL DE MOHO,ACTIVO,VIABLE,1083443.8,1058906.43,0.0,0.0,0.0,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE  E INSTALACION DE LETRINAS SANITARIAS DE 123 UNIDADES DE BÁSICAS DE SANEAMIENTO UBS TIPO BAÑOS ECOLÓGICOS QUE COMPRENDE TAZA SANITARIA PREFABRICADA CON SEPARADOR DE ORINA UNA DUCHA CON CALENTADOR SOLAR Y TERMA DE 30 LTS UN URINARIO MURO DE LADRILLO MECANIZADO CARAVISTA VENTANA DE MADERA PUERTA DE MADERA CON TABLERO REBAJADO  COBERTURA DE TEJA DE ACERO GALVANIZADO Y PINTADA Y SISTEMA DE DESAGÜE CON POZO DE  PERCOLACIÓN O HUMEDALES Y CAMPAÑAS DE EDUCACIÓN SANITARIA QUE CONSISTIRÁN EN LAS  DIVERSAS  ACCIONES  DE PROMOCIÓN CAPACITACIÓN  Y EDUCACIÓN SANITARIA,2013-09-19 00:00:00,2013-10-18 00:00:00,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,SNIP,PIP MENOR (SNIP),ADMINISTRACIÓN DIRECTA,NO,,,,,SI,NO,NO,,,201510,201906,1045997.59,0.0,,0,,,12908.84,SI,Ejecución física (C),SI,SI,100.0,100.0,2022-04-08 16:00:40,,NO,PUNO,MOHO,MOHO,210901,0.0,0.0,2014-12-22 00:00:00,2024-06-15 00:00:00,2015-10-05 00:00:00,2016-04-21 00:00:00,492,1058906.43,2026
